ID_TRAMIT;NOM_TRAMIT;DESCRIPCIO_TRAMIT;TEMA;CODI_AMBIT;DESCRIPCIO_AMBIT;IMMEDIAT;GRATUIT;REQUISITS;NORMATIVA_APLICABLE;RESPONSABLE;ENLLACOS_RELACIONATS;DATA_CREACIO;PARAULES_CLAUS;CANAL_TELEMATIC;CANAL_PRESENCIAL;CANAL_TELEFONIC;CANAL_MOBIL;CANAL_QUIOSC;IDIOMA
***017220;Cita prèvia per la Revocació de certificat digital;"La revocació suposa que l’identificador digital d’IdCAT deixa de ser vàlid.
Qui ho pot demanar?
• El/la titular de l’dentificador digital IdCAT per pròpia voluntat
• De forma automàtica si es superen els 120 dies de suspensió  sense que el titular de l’identificador digital IdCAT l’hagi habilitat
Com es pot fer?
Amb cita prèvia
• Departament d’Atenció Ciutadana
Documentació que cal aportar
Do";;0019;padró d'habitants i Cens Electoral;;S;"Documentació que cal aportar
Document acreditatiu de la identitat del/de la sol·licitant: DNI, Passaport o  Targeta de residència
";"Normativa
Llei 59/2003, de 19 de desembre, sobre signatura electrònica, article 11.1; i  amb   el   contingut   prescrit   per   l’article   11.2,   emès   en   compliment   de   les  obligacions dels articles 12, 13, 18 i 20 de l’esmentada llei.
";;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=22&idAmbito=22&idDepartamento=22&idTramite=22&idAgenda=41;26/09/2016;;;S;N;N;;Català
***094457;Informació sobre les cites prèvies;;;0029;urbanisme;;N; ; ;;https://seu.badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=detall_tramit&dDocName=***094457#wlp_detall_tramit;23/01/2020;;;N;N;N;;Català
***040291;Cita prèvia per atenció al PLÀNOL DE LA CIUTAT ;"isteix en poder demanar una cita prèvia (dia/hora) per poder fer  una consulta o gestió relacionada amb els següents temes del Departament del  Plànol de la Ciutat:
• Informació urbanística
• Noms dels carrers: canvis, modificacions, justificants, etc.
• Adreces: canvis, modificacions, justificants, etc.
• Planejament urbanístic
• Vista de plànols cartogràfics i mapes de la ciutat
• Alineacions i rasants de carrers: Plànols i assenyalaments
Important: informar el camp d'Observacions  posant el tema del que es tracta, per tal de poder  agilitzar la cita.
Addicionalment també es pot fer la Consulta i anul·lació de les cites prèvies  .  
Qui ho pot demanar?
Qualsevol ciutadà.
Com es pot fer?
En línia
Mitjançant el tràmit en línia, clicant al link ‘Demana cita! En línia’. Cal anar seguint  les passes que proposa el sistema. En cas de dubte, podeu veure les Instruccions  a l’apartat ‘Documentació’.
Quan s’acaba la petició de la cita prèvia mitjançant la Web, el programa emetrà un  document  amb les dades de la cita i un ‘codi localitzador";;0029;urbanisme;;N; ; ;;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=2&idAmbito=2&idDepartamento=2&idTramite=2&idAgenda=21;05/07/2019;;;N;S;S;;Català
***047193;Cita prèvia per informació de VIA PÚBLICA;"rius i indicacions del Pla  Específic Sant Jordi, 2021, (PROCICAT) per emergències associades a  malalties transmissibles emergents de alt risc, aquesta Diada de Sant  Jordi només està permès la Fira de Sant Jordi a la plaça Pompeu Fabra, i  la instal·lació de parades de venda de roses de floristeries i llibreries  instal·lades davant dels seus establiments.
La resta (parades ambulants de particulars, autònoms, entitats....) queden  anul·lades i no estan autoritzades.
En què consisteix el tràmit?
Aquest tràmit consisteix en demanar cita prèvia per a la presentació de  sol·licituds corresponents a la instal·lació de punts de venda ambulants.
Qui ho pot demanar?
Qualsevol ciutadà.
Com es pot fer?
En línia
Mitjançant el tràmit en línia, clicant al link ‘Demana cita! En línia’. Cal anar  seguint les passes que proposa el sistema. En cas de dubte, podeu veure les  Instruccions a l’apartat ‘Documentació’.
Quan s’acaba la petició de la cita prèvia mitjançant el Web, el programa emetrà  un document  amb les dades de la cita i un ‘codi localitzador";;0029;urbanisme;;N; ; ;;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=22&idAmbito=22&idDepartamento=22&idTramite=102&idAgenda=102;19/04/2021;;;S;N;N;;Català
***054875;Cita prèvia Ocupació;"amb aquest tràmit, poseu-vos en contacte  amb el Badiu Jove: badiujove************* . Gràcies 
En que consisteix el tràmit?
Aquest  tràmit  consisteix en poder demanar  una  cita prèvia  (dia/hora) per a  realitzar  una  assessoria en temes d’ocupació amb un/a orientador/a del Badiu Jove (C. Ausiàs ********).  Aquesta assessoria elabora itineraris professionals dels joves i orienta sobre com i on buscar  feina, com fer un currículum, com preparar-se per a una entrevista, etc. A més, facilita l’accés  als diferents serveis municipals d’ocupació existents i a les seves diferents actuacions.
Addicionalment també es pot fer la Consulta i anul·lació de les cites prèvies.
Important El dia de la cita cal anar al Badiu Jove (C. Ausiàs ********).
Qui ho pot demanar? Joves fins a 35 anys.
Com es pot fer? En línia
Mitjançant el tràmit en línia, clicant al link ‘Demana cita! En línia’. Cal anar  seguint les passes que proposa el sistema. En cas de dubte, podeu veure les  Instruccions a l’apartat ‘Documentació’.
Quan  s’acaba  la  petició  de  la  cita  prèvia  mi";;;;;N; ; ;;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=102&idAmbito=62&idDepartamento=122&idTramite=162&idAgenda=162;28/05/2020;;;S;N;N;;Català
***054859;Cita prèvia per Formació;"poseu-vos en contacte amb el Badiu Jove: badiujove************* . Gràcies
Serveis i tràmits
Per a qüestions relacionades amb aquest tràmit, poseu-vos  en  contacte  amb  el  Badiu  Jove:  badiujove************* .  Gràcies
En que consisteix el tràmit? Aquest tràmit consisteix en poder demanar una cita prèvia (dia/hora) per a  realitzar  una  assessoria  en  temes  de  formació  amb  un/a  orientador/a  del  Badiu  Jove  (C. Ausiàs ********) que  posarà  a  l’abast  tota  la  informació  necessària per orientar als joves en la tasca de decidir la branca professional  i/o millorar els estudis per assolir una millor ocupació. Addicionalment també es pot fer la Consulta i anul·lació de les cites prèvies.
Important El dia de la cita cal anar al Badiu Jove (C. Ausiàs ********).
Qui ho pot demanar? Joves fins a 35 anys.
Com es pot fer? En línia
Mitjançant el tràmit en línia, clicant al link ‘Demana cita! En línia’. Cal anar  seguint les passes que proposa el sistema. En cas de dubte, podeu veure les  Instruccions a l’apartat ‘Documentació’.
Quan  s’acaba  la  petició  de  la  cita  prèvia  mi";;0014;joventut;;N; ; ;;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=102&idAmbito=62&idDepartamento=122&idTramite=163&idAgenda=182;28/05/2020;;;S;N;N;;Català
***054893;Cita prèvia Mobilitat internacional;"amb aquest tràmit, poseu-vos en contacte  amb el Badiu Jove: badiujove************* . Gràcies 
En que consisteix el tràmit?
Aquest  tràmit  consisteix en poder demanar  una  cita prèvia  (dia/hora) per a  realitzar  una  assessoria en temes de mobilitat europea amb un/a orientador/a del Badiu Jove (C. Ausiàs ********) que posarà a l’abast tota informació per a la mobilitat de persones que vulguin fer  estades   a   l’estranger   i   accedir   als   serveis   i   recursos   per   participar,   treballar,   estudiar,  aprendre idiomes, fer voluntariat o viatjar per Europa. 
Addicionalment també es pot fer la Consulta i anul·lació de les cites prèvies.
Important El dia de la cita cal anar al Badiu Jove (C. Ausiàs ********).
Qui ho pot demanar? Joves fins a 35 anys.
Com es pot fer? En línia
Mitjançant el tràmit en línia, clicant al link ‘Demana cita! En línia’. Cal anar  seguint les passes que proposa el sistema. En cas de dubte, podeu veure les  Instruccions a l’apartat ‘Documentació’.
Quan  s’acaba  la  petició  de  la  cita  prèvia  mi";;;;;S; ; ;;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=102&idAmbito=62&idDepartamento=122&idTramite=182&idAgenda=183;28/05/2020;;;S;N;N;;Català
***055201;Cita prèvia per Assessoria de salut;"poseu-vos en contacte amb el Badiu Jove:badiujove************* . Gràcies
Serveis i tràmits
Per a qüestions relacionades amb aquest tràmit, poseu-vos  en   contacte   amb   el   Badiu   Jove:badiujove*************  .  Gràcies
En que consisteix el tràmit? Aquest tràmit consisteix en poder demanar una cita prèvia (dia/hora) per a  realitzar una assessoria amb un orientador/a del Badiu Jove (C. Ausiàs ********) que posarà a l’abast tota la informació sobre tots els temes que tinguin a  veure amb la salut jove (alimentació, sexualitat, drogodependències...).
Els joves comptaran amb el suport d’un professional, podran fer consultes i resoldre els seus  dubtes de manera totalment confidencial.
Addicionalment també es pot fer la Consulta i anul·lació de les cites prèvies.
Important El dia de la cita cal anar al Badiu Jove (C. Ausiàs ********).
Qui ho pot demanar? Joves fins a 35 anys.
Com es pot fer? En línia
Mitjançant el tràmit en línia, clicant al link ‘Demana cita! En línia’. Cal anar  seguint les passes que proposa el sistema. En cas de dubte, podeu veure les  Instruccions a l’apartat ‘Documentació’.
Quan  s’acaba  la  petició  de  la  cita  prèvia  mi";;;;;N; ; ;;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=102&idAmbito=62&idDepartamento=122&idTramite=223&idAgenda=223;28/05/2020;;;S;N;N;;Català
***055202;Cita prèvia Assessoria psicològica;"amb aquest tràmit, poseu-vos en contacte  amb el Badiu Jove: badiujove************* . Gràcies 
En que consisteix el tràmit? Aquest tràmit consisteix en poder demanar una cita prèvia (dia/hora) per a  realitzar una assessoria a l’equipament Badiu Jove (C. Ausiàs ********) que  donarà suport psicològic i atenció personalitzada i confidencial als joves per  enfrontar certs aspectes de la seva vida en els quals sentin que necessiten  d’un suport per a la gestió de les emocions: conflictes familiars o de parella,  dificultat en les relacions personals, situacions d’estrès o angoixa, problemes  d’autoestima, sentiments de desorientació o desmotivació...
Addicionalment també es pot fer la Consulta i anul·lació de les cites prèvies.
Important El dia de la cita cal anar al Badiu Jove (C. Ausiàs ********).
Qui ho pot demanar? Joves fins a 35 anys.
Com es pot fer? En línia
Mitjançant el tràmit en línia, clicant al link ‘Demana cita! En línia’. Cal anar  seguint les passes que proposa el sistema. En cas de dubte, podeu veure les  Instruccions a l’apartat ‘Documentació’.
Quan  s’acaba  la  petició  de  la  cita  prèvia  mi";;;;;N; ; ;;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=102&idAmbito=62&idDepartamento=122&idTramite=222&idAgenda=222;28/05/2020;;;S;N;N;;Català
***054874;Cita prèvia Associacionisme;"amb aquest tràmit, poseu-vos en contacte  amb el Badiu Jove: badiujove************* . Gràcies 
En que consisteix el tràmit?
Aquest  tràmit  consisteix en poder demanar  una  cita prèvia  (dia/hora) per a  realitzar  una  assessoria amb un orientador/a del Badiu Jove  (C. Ausiàs ********)  que posarà a l’abast  tota  la  informació  sobre  tots  els  temes  que  tinguin  a  veure  amb  l’associacionisme  i  la  participació juvenil: fomentar la participació i donar eines i coneixements bàsics per crear,  organitzar i gestionar una associació o una entitat juvenil.
Addicionalment també es pot fer la Consulta i anul·lació de les cites prèvies.
Important El dia de la cita cal anar al Badiu Jove (C. Ausiàs ********).
Qui ho pot demanar? Joves fins a 35 anys.
Com es pot fer? En línia
Mitjançant el tràmit en línia, clicant al link ‘Demana cita! En línia’. Cal anar  seguint les passes que proposa el sistema. En cas de dubte, podeu veure les  Instruccions a l’apartat ‘Documentació’.
Quan  s’acaba  la  petició  de  la  cita  prèvia  mi";;;;;S; ; ;;http://badalona.cat/appExtSC/citaprevia/solicitudPaso2!ccbs?idServicio=102&idAmbito=62&idDepartamento=122&idTramite=184&idAgenda=185;28/05/2020;;;S;N;N;;Català
