CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;2013;731;2;ABOGADOS;50
EN EL MUNICIPI;2013;4685;1;ACTIV. ANEXAS IND. MUEBLE;2
EN EL MUNICIPI;2013;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;9
EN EL MUNICIPI;2013;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;3
EN EL MUNICIPI;2013;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;1
EN EL MUNICIPI;2013;013;3;ACTORES DE CINE Y TEATRO;1
EN EL MUNICIPI;2013;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;2
EN EL MUNICIPI;2013;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;1
EN EL MUNICIPI;2013;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;7
EN EL MUNICIPI;2013;755;1;AGENCIAS DE VIAJES;8
EN EL MUNICIPI;2013;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;1
EN EL MUNICIPI;2013;511;2;AGENTES COMERCIALES;51
EN EL MUNICIPI;2013;728;2;AGENTES DE ADUANAS;2
EN EL MUNICIPI;2013;712;2;AGENTES Y CORREDORES DE SEGUROS;28
EN EL MUNICIPI;2013;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;17
EN EL MUNICIPI;2013;5013;1;ALBAùILERIA Y PEQ. TRABAJOS CONSTRUCCION;118
EN EL MUNICIPI;2013;7545;1;ALMACENES Y DEPOSITOS DE LIQUIDOS;1
EN EL MUNICIPI;2013;8541;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;1
EN EL MUNICIPI;2013;8561;1;ALQUILER DE BIENES DE CONSUMO;2
EN EL MUNICIPI;2013;8562;1;ALQUILER DE PELICULAS DE VIDEO;3
EN EL MUNICIPI;2013;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;3
EN EL MUNICIPI;2013;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;3
EN EL MUNICIPI;2013;411;2;ARQUITECTOS;24
EN EL MUNICIPI;2013;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;28
EN EL MUNICIPI;2013;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);7
EN EL MUNICIPI;2013;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;2
EN EL MUNICIPI;2013;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;4
EN EL MUNICIPI;2013;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;3
EN EL MUNICIPI;2013;881;2;ASTROLOGOS Y SIMILARES;1
EN EL MUNICIPI;2013;747;2;AUDITORES DE CUENTAS Y CENSORES JURADOS;3
EN EL MUNICIPI;2013;024;2;AUXILIARES Y AYUDANTES VETERINARIA;1
EN EL MUNICIPI;2013;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;24
EN EL MUNICIPI;2013;811;1;BANCA;61
EN EL MUNICIPI;2013;6731;1;BARES CATEGORIA ESPECIAL;2
EN EL MUNICIPI;2013;4912;1;BISUTERIA;1
EN EL MUNICIPI;2013;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;3
EN EL MUNICIPI;2013;6746;1;CAFE-BAR TEATROS Y CINES;1
EN EL MUNICIPI;2013;675;1;CAFES-BARES EN QUIOSCOS,CAJONES,BARRACAS;1
EN EL MUNICIPI;2013;812;1;CAJAS DE AHORRO;4
EN EL MUNICIPI;2013;5055;1;CARPINTERIA Y CERRAJERIA;41
EN EL MUNICIPI;2013;5024;1;CIMENTACIONES Y PAVIMENTACIONES;2
EN EL MUNICIPI;2013;8491;1;COBROS DE DEUDAS Y CONFECCION FACTURAS;1
EN EL MUNICIPI;2013;5054;1;COLOCACION DE AISLAMIENTOS EN EDIFICIOS;23
EN EL MUNICIPI;2013;6153;1;COM. MAY. APARATOS ELECTRODOMESTICOS;9
EN EL MUNICIPI;2013;611;1;COM. MAY. TODA CLASE DE MERCANCIAS;2
EN EL MUNICIPI;2013;6536;1;COM. MEN. ARTICULOS DE  BRICOLAGE ;1
EN EL MUNICIPI;2013;6124;1;COM.MAY. CARNES,HUEVOS,AVES Y CAZA;10
EN EL MUNICIPI;2013;6172;1;COM.MAY. CUEROS Y PIELES EN BRUTO;1
EN EL MUNICIPI;2013;6152;1;COM.MAY. DE MUEBLES;4
EN EL MUNICIPI;2013;6192;1;COM.MAY. INSTRUM. MEDICOS Y ORTOPEDICOS;4
EN EL MUNICIPI;2013;6191;1;COM.MAY. JUGUETES Y ARTICULOS DEPORTE;7
EN EL MUNICIPI;2013;6196;1;COM.MAY. LIBROS, PERIODICOS Y REVISTAS;2
EN EL MUNICIPI;2013;6173;1;COM.MAY. MADERA Y CORCHO;3
EN EL MUNICIPI;2013;6176;1;COM.MAY. MAQUINARIA AGRICOLA;1
EN EL MUNICIPI;2013;6175;1;COM.MAY. MAQUINARIA PARA MADERA Y METAL;8
EN EL MUNICIPI;2013;6177;1;COM.MAY. MAQUINARIA TEXTIL;1
EN EL MUNICIPI;2013;6178;1;COM.MAY. MAQUINAS Y MATERIAL OFICINA;5
EN EL MUNICIPI;2013;6174;1;COM.MAY. MATERIALES CONSTRUCCION;10
EN EL MUNICIPI;2013;6164;1;COM.MAY. METALES NO FERREOS;1
EN EL MUNICIPI;2013;6193;1;COM.MAY. METALES PRECIOSOS, Y JOYERIA;3
EN EL MUNICIPI;2013;6163;1;COM.MAY. MINERALES;1
EN EL MUNICIPI;2013;6128;1;COM.MAY. PESCADOS;3
EN EL MUNICIPI;2013;6133;1;COM.MAY. PRENDAS EXTERIORES VESTIR;2
EN EL MUNICIPI;2013;6127;1;COM.MAY. VINOS Y VINAGRES DEL PAIS;1
EN EL MUNICIPI;2013;6139;1;COM.MAY.ACCESORIOS VESTIDO NCOP;2
EN EL MUNICIPI;2013;6154;1;COM.MAY.APAR.Y MAT. ELECTRONICO;11
EN EL MUNICIPI;2013;6195;1;COM.MAY.ART.PAPELERIA Y ESCRITORIO;6
EN EL MUNICIPI;2013;6126;1;COM.MAY.BEBIDAS Y TABACO;5
EN EL MUNICIPI;2013;6134;1;COM.MAY.CALZADO,PELETERIA,MARROQUINERIA;6
EN EL MUNICIPI;2013;6135;1;COM.MAY.CAMISERIA,LENCERIA,MERCERIA,...;7
EN EL MUNICIPI;2013;6122;1;COM.MAY.CEREALES,PLANTAS,ABONOS,ANIMALES;2
EN EL MUNICIPI;2013;621;1;COM.MAY.CHATARRA Y METALES DESECHO;2
EN EL MUNICIPI;2013;6123;1;COM.MAY.FRUTAS Y VERDURAS;2
EN EL MUNICIPI;2013;6197;1;COM.MAY.INSTRUM.PRECISION Y MEDIDA;5
EN EL MUNICIPI;2013;6179;1;COM.MAY.INTERINDUSTRIAL EXCEP. QUIMICA;30
EN EL MUNICIPI;2013;6125;1;COM.MAY.LECHE,PTOS.LACTEOS, MIEL, ACEITE;4
EN EL MUNICIPI;2013;6159;1;COM.MAY.OTROS ART. CONSUMO DURADERO NCOP;7
EN EL MUNICIPI;2013;6199;1;COM.MAY.OTROS PRODUCTOS NCOP;3
EN EL MUNICIPI;2013;6129;1;COM.MAY.OTROS PTOS. ALIMENT.,HELADOS ETC;20
EN EL MUNICIPI;2013;622;1;COM.MAY.OTROS PTOS. RECUPERACION;3
EN EL MUNICIPI;2013;6194;1;COM.MAY.PTOS. DE PAPEL Y CARTON;3
EN EL MUNICIPI;2013;6166;1;COM.MAY.PTOS. QUIMICOS INDUSTRIALES;4
EN EL MUNICIPI;2013;6121;1;COM.MAY.PTOS.ALIMENTIC.BEBIDAS Y TABACOS;7
EN EL MUNICIPI;2013;6141;1;COM.MAY.PTOS.FARMACEUTICOS Y MEDICAMENTO;5
EN EL MUNICIPI;2013;6169;1;COM.MAY.PTOS.INTERINDUSTRIALES Y QUIMIC.;1
EN EL MUNICIPI;2013;6143;1;COM.MAY.PTOS.MANTENIMIENTO HOGAR;4
EN EL MUNICIPI;2013;6142;1;COM.MAY.PTOS.PERFUMERIA,DROGUERIA;8
EN EL MUNICIPI;2013;6131;1;COM.MAY.PTOS.TEXTILES,CONFECC, Y CALZADO;7
EN EL MUNICIPI;2013;6132;1;COM.MAY.TEJIDOS POR METROS, ALFOMBRAS;9
EN EL MUNICIPI;2013;6151;1;COM.MAY.VEHICULOS Y SUS ACCESORIOS;7
EN EL MUNICIPI;2013;6542;1;COM.MEN.ACCESORIOS Y RECAMBIOS VEHICULOS;7
