DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
S-01001;2022;731;2;ABOGADOS;1
S-01001;2022;755;1;AGENCIAS DE VIAJES;1
S-01001;2022;6531;1;COM.MEN.MUEBLES (EXCEPTO OFICINA);2
S-01001;2022;6515;1;COM.MEN.PRENDAS ESPECIALES;1
S-01001;2022;453;1;CONFECC. TODA CLASE PRENDAS VESTIR;1
S-01001;2022;9312;1;ENSEùANZA EDUCACION GENERAL BASICA;1
S-01001;2022;9672;1;ESCUELAS Y SERV. PERFECC. DEL DEPORTE;1
S-01001;2022;831;2;MEDICOS MEDICINA GENERAL;1
S-01001;2022;834;2;ODONTOLOGOS;1
S-01001;2022;6732;1;OTROS CAFES Y BARES;1
S-01001;2022;6779;1;OTROS SERV. ALIMENTACION - RESTAURACION;1
S-01001;2022;9721;1;SERV. PELUQUERIA SEùORAS Y CABALLEROS;1
S-01001;2022;842;1;SERVICIOS FINANCIEROS Y CONTABLES;1
S-01002;2022;731;2;ABOGADOS;2
S-01002;2022;983;1;AGENCIAS DE COLOCACION DE ARTISTAS;1
S-01002;2022;755;1;AGENCIAS DE VIAJES;4
S-01002;2022;411;2;ARQUITECTOS;1
S-01002;2022;811;1;BANCA;3
S-01002;2022;6192;1;COM.MAY. INSTRUM. MEDICOS Y ORTOPEDICOS;1
S-01002;2022;6123;1;COM.MAY.FRUTAS Y VERDURAS;1
S-01002;2022;6532;1;COM.MEN.APARATOS DE USO DOMESTICO;6
S-01002;2022;6593;1;COM.MEN.APARATOS MEDICOS, ORTOPEDICOS;7
S-01002;2022;6595;1;COM.MEN.ART.JOYERIA,RELOJERIA,BISUTERIA;2
S-01002;2022;6533;1;COM.MEN.ART.MENAJE,FERRETERIA,ADORNO;1
S-01002;2022;6516;1;COM.MEN.CALZADO Y COMPLEMENTOS PIEL;11
S-01002;2022;6421;1;COM.MEN.CARNES,HUEVOS,CAZA Y GRANJA;1
S-01002;2022;6424;1;COM.MEN.CARNICERIAS;3
S-01002;2022;641;1;COM.MEN.FRUTAS,VERDURAS;1
S-01002;2022;6425;1;COM.MEN.HUEVOS,AVES,GRANJA Y CAZA;1
S-01002;2022;6596;1;COM.MEN.JUGUETES,ART.DEPORTE,ARMAS...;2
S-01002;2022;6513;1;COM.MEN.LENCERIA Y CORSETERIA;3
S-01002;2022;6594;1;COM.MEN.LIBROS,PERIODICOS,REVISTAS.;4
S-01002;2022;6534;1;COM.MEN.MATERIALES DE CONSTRUCCION;1
S-01002;2022;6514;1;COM.MEN.MERCERIA Y PAQUETERIA;1
S-01002;2022;6531;1;COM.MEN.MUEBLES (EXCEPTO OFICINA);2
S-01002;2022;6592;1;COM.MEN.MUEBLES Y MAQUINAS DE OFICINA;1
S-01002;2022;6441;1;COM.MEN.PAN,PASTELES,CONFITERIA,LACTEOS;1
S-01002;2022;6431;1;COM.MEN.PESCADOS;3
S-01002;2022;6524;1;COM.MEN.PLANTAS Y HIERBAS,HERBORARIOS;2
S-01002;2022;6512;1;COM.MEN.PRENDAS DE VESTIR Y TOCADO;19
S-01002;2022;6472;1;COM.MEN.PTOS.ALIMENTICIOS MENOS 120 M2;2
S-01002;2022;6471;1;COM.MEN.PTOS.ALIMENTICIOS Y BEBIDAS;3
S-01002;2022;6473;1;COM.MEN-PTOS.ALIMENTICIOS 120 - 399 M2;4
S-01002;2022;6522;1;COM.MEN.PTOS.DROGUERIA,PERFUMERIA;1
S-01002;2022;6443;1;COM.MEN.PTOS.PASTELERIA,BOLLERIA;1
S-01002;2022;6523;1;COM.MEN.PTOS.PERFUMERIA Y COSMETICA;3
S-01002;2022;6511;1;COM.MEN.PTOS.TEXTILES PARA EL HOGAR;3
S-01002;2022;6597;1;COM.MEN.SEMILLAS,ABONOS,FLORES,PLANTAS;2
S-01002;2022;6622;1;COM.MEN.TODA CLASE ART. EN OTROS LOCALES;2
S-01002;2022;6541;1;COM.MEN.VEHICULOS TERRESTRES;1
S-01002;2022;943;1;CONSULTAS CLINICAS ESTOMAT. Y ODONTOLOG.;4
S-01002;2022;9421;1;CONSULTORIOS MEDICOS, SANITARIOS...;1
S-01002;2022;4239;1;ELAB. OTROS PTOS. ALIMENTICIOS NCOP;1
S-01002;2022;9313;1;ENSEùANZA BACHILLERATO, F.P., Y C.O.U.;2
S-01002;2022;9312;1;ENSEùANZA EDUCACION GENERAL BASICA;2
S-01002;2022;9311;1;GUARDERIA Y ENSE#ANZA INFANTIL,EXCLUSIV.;3
S-01002;2022;631;1;INTERMEDIARIOS DEL COMERCIO;1
S-01002;2022;832;2;MEDICOS ESPECIALISTAS;1
S-01002;2022;9339;1;OTROS ACTIV. ENSEùANZA;1
S-01002;2022;6732;1;OTROS CAFES Y BARES;6
S-01002;2022;6779;1;OTROS SERV. ALIMENTACION - RESTAURACION;3
S-01002;2022;9429;1;OTROS SERV. SANITARIOS;1
S-01002;2022;732;2;PROCURADORES;1
S-01002;2022;751;2;PROFESIONALES PUBLICIDAD, RELAC.PUBLICAS;1
S-01002;2022;6714;1;RESTAURANTES DE DOS TENEDORES;1
S-01002;2022;9722;1;SALONES E INSTITUTOS DE BELLEZA;5
S-01002;2022;9721;1;SERV. PELUQUERIA SEùORAS Y CABALLEROS;1
S-01002;2022;841;1;SERVICIOS JURIDICOS;1
S-01002;2022;844;1;SERVICIOS PUBLICIDAD, RELACIONES PUBLIC.;1
S-01003;2022;731;2;ABOGADOS;1
S-01003;2022;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;1
S-01003;2022;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;1
S-01003;2022;411;2;ARQUITECTOS;1
S-01003;2022;811;1;BANCA;3
S-01003;2022;6723;1;CAFETERIAS DE UNA TAZA;1
S-01003;2022;6174;1;COM.MAY. MATERIALES CONSTRUCCION;1
S-01003;2022;6194;1;COM.MAY.PTOS. DE PAPEL Y CARTON;2
S-01003;2022;6532;1;COM.MEN.APARATOS DE USO DOMESTICO;2
S-01003;2022;6533;1;COM.MEN.ART.MENAJE,FERRETERIA,ADORNO;2
S-01003;2022;6596;1;COM.MEN.JUGUETES,ART.DEPORTE,ARMAS...;1
S-01003;2022;6524;1;COM.MEN.PLANTAS Y HIERBAS,HERBORARIOS;1
S-01003;2022;6512;1;COM.MEN.PRENDAS DE VESTIR Y TOCADO;1
S-01003;2022;6523;1;COM.MEN.PTOS.PERFUMERIA Y COSMETICA;3
S-01003;2022;6511;1;COM.MEN.PTOS.TEXTILES PARA EL HOGAR;1
S-01003;2022;6597;1;COM.MEN.SEMILLAS,ABONOS,FLORES,PLANTAS;1
S-01003;2022;6622;1;COM.MEN.TODA CLASE ART. EN OTROS LOCALES;1
S-01003;2022;4762;1;EDICION DE PERIODICOS Y REVISTAS;1
S-01003;2022;845;1;EXPLOTACION ELECTRONICA POR TERCEROS;1
S-01003;2022;7511;1;GUARDIA Y CUSTODIA VEHICULOS EN GARAJES;1
S-01003;2022;9671;1;INSTALACIONES DEPORTIVAS;1
S-01003;2022;631;1;INTERMEDIARIOS DEL COMERCIO;1
S-01003;2022;9339;1;OTROS ACTIV. ENSEùANZA;1
S-01003;2022;6732;1;OTROS CAFES Y BARES;1
S-01003;2022;8329;1;OTROS SERV. AUXILIARES DE SEGUROS;1
S-01003;2022;999;1;OTROS SERVICIOS N.C.O.P.;1
S-01003;2022;6912;1;REPARACION AUTOMOVILES Y BICICLETAS;1
S-01003;2022;372;1;REPARACION Y MANTENIMIENTO DE BUQUES;1
S-01003;2022;6714;1;RESTAURANTES DE DOS TENEDORES;1
S-01003;2022;9722;1;SALONES E INSTITUTOS DE BELLEZA;2
S-01003;2022;9218;1;SERV. ADMON. CEMENTERIOS;1
S-01003;2022;834;1;SERV. PROPIEDAD INMOBILIARIA E INDUSTRIA;1
S-01003;2022;8432;1;SERV. TEC. DE ARQUITECTURA;3
S-01003;2022;842;1;SERVICIOS FINANCIEROS Y CONTABLES;1
S-01003;2022;841;1;SERVICIOS JURIDICOS;1
S-01004;2022;731;2;ABOGADOS;1
S-01004;2022;6533;1;COM.MEN.ART.MENAJE,FERRETERIA,ADORNO;1
S-01004;2022;6516;1;COM.MEN.CALZADO Y COMPLEMENTOS PIEL;1
S-01004;2022;641;1;COM.MEN.FRUTAS,VERDURAS;1
S-01004;2022;6513;1;COM.MEN.LENCERIA Y CORSETERIA;1
S-01004;2022;6514;1;COM.MEN.MERCERIA Y PAQUETERIA;1
S-01004;2022;6592;1;COM.MEN.MUEBLES Y MAQUINAS DE OFICINA;1
S-01004;2022;6441;1;COM.MEN.PAN,PASTELES,CONFITERIA,LACTEOS;1
S-01004;2022;6512;1;COM.MEN.PRENDAS DE VESTIR Y TOCADO;1
S-01004;2022;6474;1;COM.MEN.PTOS.ALIMENTICIOS SUP.400 M2;1
S-01004;2022;6523;1;COM.MEN.PTOS.PERFUMERIA Y COSMETICA;1
S-01004;2022;5011;1;CONSTRUCCION COMPLETA, REPAR. Y CONSERV.;1
S-01004;2022;845;1;EXPLOTACION ELECTRONICA POR TERCEROS;1
S-01004;2022;682;1;HOSPEDAJE EN HOSTALES Y PENSIONES;1
S-01004;2022;8499;1;OTROS SERVICIOS INDEPENDIENTES NCOP;1
S-01004;2022;9722;1;SALONES E INSTITUTOS DE BELLEZA;1
S-01004;2022;834;1;SERV. PROPIEDAD INMOBILIARIA E INDUSTRIA;1
S-01005;2022;731;2;ABOGADOS;1
S-01005;2022;755;1;AGENCIAS DE VIAJES;1
S-01005;2022;411;2;ARQUITECTOS;1
S-01005;2022;811;1;BANCA;1
S-01005;2022;6593;1;COM.MEN.APARATOS MEDICOS, ORTOPEDICOS;2
S-01005;2022;6516;1;COM.MEN.CALZADO Y COMPLEMENTOS PIEL;1
S-01005;2022;6594;1;COM.MEN.LIBROS,PERIODICOS,REVISTAS.;1
S-01005;2022;6592;1;COM.MEN.MUEBLES Y MAQUINAS DE OFICINA;1
S-01005;2022;6522;1;COM.MEN.PTOS.DROGUERIA,PERFUMERIA;1
S-01005;2022;6523;1;COM.MEN.PTOS.PERFUMERIA Y COSMETICA;1
S-01005;2022;9421;1;CONSULTORIOS MEDICOS, SANITARIOS...;1
S-01005;2022;9321;1;ENSEùANZA FORMACION PROF. NO SUPERIOR;1
S-01005;2022;831;2;MEDICOS MEDICINA GENERAL;1
S-01005;2022;9339;1;OTROS ACTIV. ENSEùANZA;1
S-01005;2022;6732;1;OTROS CAFES Y BARES;1
S-01005;2022;8319;1;OTROS SERVICIOS FINANCIEROS NCOP;1
S-01005;2022;9722;1;SALONES E INSTITUTOS DE BELLEZA;1
S-01005;2022;8497;1;SERV. GESTION ADMINISTRATIVA;1
S-01005;2022;842;1;SERVICIOS FINANCIEROS Y CONTABLES;1
S-01007;2022;731;2;ABOGADOS;4
S-01007;2022;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;1
S-01007;2022;755;1;AGENCIAS DE VIAJES;1
S-01007;2022;712;2;AGENTES Y CORREDORES DE SEGUROS;2
S-01007;2022;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;1
S-01007;2022;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;1
S-01007;2022;811;1;BANCA;6
S-01007;2022;812;1;CAJAS DE AHORRO;1
S-01007;2022;6164;1;COM.MAY. METALES NO FERREOS;1
S-01007;2022;6163;1;COM.MAY. MINERALES;1
S-01007;2022;6593;1;COM.MEN.APARATOS MEDICOS, ORTOPEDICOS;1
