CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;2009;731;2;ABOGADOS;64
EN EL MUNICIPI;2009;436;1;ACABADO DE TEXTILES;1
EN EL MUNICIPI;2009;4685;1;ACTIV. ANEXAS IND. MUEBLE;5
EN EL MUNICIPI;2009;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;8
EN EL MUNICIPI;2009;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;6
EN EL MUNICIPI;2009;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;1
EN EL MUNICIPI;2009;013;3;ACTORES DE CINE Y TEATRO;2
EN EL MUNICIPI;2009;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;5
EN EL MUNICIPI;2009;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;1
EN EL MUNICIPI;2009;723;2;ADMINISTRADORES DE FINCAS;2
EN EL MUNICIPI;2009;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;9
EN EL MUNICIPI;2009;755;1;AGENCIAS DE VIAJES;4
EN EL MUNICIPI;2009;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;1
EN EL MUNICIPI;2009;853;2;AGENTES COLOCADORES ARTISTAS;1
EN EL MUNICIPI;2009;511;2;AGENTES COMERCIALES;84
EN EL MUNICIPI;2009;728;2;AGENTES DE ADUANAS;2
EN EL MUNICIPI;2009;712;2;AGENTES Y CORREDORES DE SEGUROS;38
EN EL MUNICIPI;2009;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;13
EN EL MUNICIPI;2009;5013;1;ALBAùILERIA Y PEQ. TRABAJOS CONSTRUCCION;242
EN EL MUNICIPI;2009;7545;1;ALMACENES Y DEPOSITOS DE LIQUIDOS;1
EN EL MUNICIPI;2009;8541;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;2
EN EL MUNICIPI;2009;8561;1;ALQUILER DE BIENES DE CONSUMO;2
EN EL MUNICIPI;2009;8562;1;ALQUILER DE PELICULAS DE VIDEO;4
EN EL MUNICIPI;2009;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;9
EN EL MUNICIPI;2009;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;5
EN EL MUNICIPI;2009;411;2;ARQUITECTOS;33
EN EL MUNICIPI;2009;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;37
EN EL MUNICIPI;2009;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);7
EN EL MUNICIPI;2009;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;3
EN EL MUNICIPI;2009;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;5
EN EL MUNICIPI;2009;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;5
EN EL MUNICIPI;2009;881;2;ASTROLOGOS Y SIMILARES;1
EN EL MUNICIPI;2009;747;2;AUDITORES DE CUENTAS Y CENSORES JURADOS;3
EN EL MUNICIPI;2009;024;2;AUXILIARES Y AYUDANTES VETERINARIA;1
EN EL MUNICIPI;2009;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;26
EN EL MUNICIPI;2009;811;1;BANCA;6
EN EL MUNICIPI;2009;6731;1;BARES CATEGORIA ESPECIAL;2
EN EL MUNICIPI;2009;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;7
EN EL MUNICIPI;2009;6746;1;CAFE-BAR TEATROS Y CINES;1
EN EL MUNICIPI;2009;675;1;CAFES-BARES EN QUIOSCOS,CAJONES,BARRACAS;1
EN EL MUNICIPI;2009;812;1;CAJAS DE AHORRO;30
EN EL MUNICIPI;2009;5055;1;CARPINTERIA Y CERRAJERIA;80
EN EL MUNICIPI;2009;676;1;CHOCOLATERIAS,HELADERIAS Y HORCHATERIAS;1
EN EL MUNICIPI;2009;5024;1;CIMENTACIONES Y PAVIMENTACIONES;2
EN EL MUNICIPI;2009;8491;1;COBROS DE DEUDAS Y CONFECCION FACTURAS;1
EN EL MUNICIPI;2009;5054;1;COLOCACION DE AISLAMIENTOS EN EDIFICIOS;40
EN EL MUNICIPI;2009;6153;1;COM. MAY. APARATOS ELECTRODOMESTICOS;7
EN EL MUNICIPI;2009;611;1;COM. MAY. TODA CLASE DE MERCANCIAS;1
EN EL MUNICIPI;2009;6536;1;COM. MEN. ARTICULOS DE  BRICOLAGE ;1
EN EL MUNICIPI;2009;6124;1;COM.MAY. CARNES,HUEVOS,AVES Y CAZA;7
EN EL MUNICIPI;2009;6172;1;COM.MAY. CUEROS Y PIELES EN BRUTO;1
EN EL MUNICIPI;2009;6152;1;COM.MAY. DE MUEBLES;3
EN EL MUNICIPI;2009;6192;1;COM.MAY. INSTRUM. MEDICOS Y ORTOPEDICOS;4
EN EL MUNICIPI;2009;6191;1;COM.MAY. JUGUETES Y ARTICULOS DEPORTE;3
EN EL MUNICIPI;2009;6196;1;COM.MAY. LIBROS, PERIODICOS Y REVISTAS;1
EN EL MUNICIPI;2009;6173;1;COM.MAY. MADERA Y CORCHO;3
EN EL MUNICIPI;2009;6175;1;COM.MAY. MAQUINARIA PARA MADERA Y METAL;6
