CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;1997;731;2;ABOGADOS;89
EN EL MUNICIPI;1997;436;1;ACABADO DE TEXTILES;8
EN EL MUNICIPI;1997;4685;1;ACTIV. ANEXAS IND. MUEBLE;11
EN EL MUNICIPI;1997;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;16
EN EL MUNICIPI;1997;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;21
EN EL MUNICIPI;1997;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;4
EN EL MUNICIPI;1997;013;3;ACTORES DE CINE Y TEATRO;1
EN EL MUNICIPI;1997;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;4
EN EL MUNICIPI;1997;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;2
EN EL MUNICIPI;1997;723;2;ADMINISTRADORES DE FINCAS;5
EN EL MUNICIPI;1997;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;16
EN EL MUNICIPI;1997;755;1;AGENCIAS DE VIAJES;11
EN EL MUNICIPI;1997;974;1;AGENCIAS PRESTACION SERV. DOMESTICOS;1
EN EL MUNICIPI;1997;771;2;AGENTES COBRADORES;2
EN EL MUNICIPI;1997;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;6
EN EL MUNICIPI;1997;511;2;AGENTES COMERCIALES;140
EN EL MUNICIPI;1997;728;2;AGENTES DE ADUANAS;1
EN EL MUNICIPI;1997;713;2;AGENTES DE SEGUROS AFECTOS;45
EN EL MUNICIPI;1997;727;2;AGENTES O INTERMEDIARIOS PRESTAMOS;2
EN EL MUNICIPI;1997;712;2;AGENTES REPRESENTANTES DE SEGUROS;10
EN EL MUNICIPI;1997;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;4
EN EL MUNICIPI;1997;5013;1;ALBAùILERIA Y PEQ. TRABAJOS CONSTRUCCION;197
EN EL MUNICIPI;1997;7545;1;ALMACENES Y DEPOSITOS DE LIQUIDOS;1
EN EL MUNICIPI;1997;854;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;7
EN EL MUNICIPI;1997;8561;1;ALQUILER DE BIENES DE CONSUMO;3
EN EL MUNICIPI;1997;8552;1;ALQUILER DE EMBARCACIONES;1
EN EL MUNICIPI;1997;8562;1;ALQUILER DE PELICULAS DE VIDEO;29
EN EL MUNICIPI;1997;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;10
EN EL MUNICIPI;1997;851;1;ALQUILER MAQUINARIA Y EQUIPO AGRICOLA;1
EN EL MUNICIPI;1997;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;7
EN EL MUNICIPI;1997;8559;1;ALQUILER OTROS MEDIOS TRANSP. N.C.O.P.;1
EN EL MUNICIPI;1997;048;3;ARBITROS DE ESPECTACULOS DEPORTIVOS;2
EN EL MUNICIPI;1997;411;2;ARQUITECTOS;29
EN EL MUNICIPI;1997;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;35
EN EL MUNICIPI;1997;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);52
EN EL MUNICIPI;1997;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;5
EN EL MUNICIPI;1997;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;11
EN EL MUNICIPI;1997;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;4
EN EL MUNICIPI;1997;881;2;ASTROLOGOS Y SIMILARES;2
EN EL MUNICIPI;1997;747;2;AUDITORES DE CUENTAS Y CENSORES JURADOS;2
EN EL MUNICIPI;1997;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;18
EN EL MUNICIPI;1997;811;1;BANCA;21
EN EL MUNICIPI;1997;6731;1;BARES CATEGORIA ESPECIAL;22
EN EL MUNICIPI;1997;4912;1;BISUTERIA;4
EN EL MUNICIPI;1997;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;16
EN EL MUNICIPI;1997;6746;1;CAFE-BAR TEATROS Y CINES;4
EN EL MUNICIPI;1997;6722;1;CAFETERIAS DOS TAZAS;2
EN EL MUNICIPI;1997;812;1;CAJAS DE AHORRO;27
EN EL MUNICIPI;1997;5055;1;CARPINTERIA Y CERRAJERIA;104
EN EL MUNICIPI;1997;4621;1;CHAPAS DE MADERA;1
EN EL MUNICIPI;1997;676;1;CHOCOLATERIAS,HELADERIAS Y HORCHATERIAS;3
EN EL MUNICIPI;1997;8491;1;COBROS DE DEUDAS Y CONFECCION FACTURAS;2
EN EL MUNICIPI;1997;5054;1;COLOCACION DE AISLAMIENTOS EN EDIFICIOS;33
EN EL MUNICIPI;1997;6153;1;COM. MAY. APARATOS ELECTRODOMESTICOS;20
EN EL MUNICIPI;1997;6144;1;COM. MAY. PRODUCTOS ZOOSANITARIOS;1
EN EL MUNICIPI;1997;611;1;COM. MAY. TODA CLASE DE MERCANCIAS;1
EN EL MUNICIPI;1997;6536;1;COM. MEN. ARTICULOS DE  BRICOLAGE ;1
EN EL MUNICIPI;1997;656;1;COM. MEN. DE BIENES USADOS;1
EN EL MUNICIPI;1997;6124;1;COM.MAY. CARNES,HUEVOS,AVES Y CAZA;8
EN EL MUNICIPI;1997;6172;1;COM.MAY. CUEROS Y PIELES EN BRUTO;1
