CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;2008;731;2;ABOGADOS;68
EN EL MUNICIPI;2008;436;1;ACABADO DE TEXTILES;1
EN EL MUNICIPI;2008;4685;1;ACTIV. ANEXAS IND. MUEBLE;5
EN EL MUNICIPI;2008;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;9
EN EL MUNICIPI;2008;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;6
EN EL MUNICIPI;2008;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;1
EN EL MUNICIPI;2008;013;3;ACTORES DE CINE Y TEATRO;2
EN EL MUNICIPI;2008;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;6
EN EL MUNICIPI;2008;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;1
EN EL MUNICIPI;2008;723;2;ADMINISTRADORES DE FINCAS;2
EN EL MUNICIPI;2008;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;9
EN EL MUNICIPI;2008;755;1;AGENCIAS DE VIAJES;5
EN EL MUNICIPI;2008;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;1
EN EL MUNICIPI;2008;853;2;AGENTES COLOCADORES ARTISTAS;1
EN EL MUNICIPI;2008;511;2;AGENTES COMERCIALES;96
EN EL MUNICIPI;2008;728;2;AGENTES DE ADUANAS;2
EN EL MUNICIPI;2008;712;2;AGENTES Y CORREDORES DE SEGUROS;41
EN EL MUNICIPI;2008;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;9
EN EL MUNICIPI;2008;5013;1;ALBAùILERIA Y PEQ. TRABAJOS CONSTRUCCION;292
EN EL MUNICIPI;2008;7545;1;ALMACENES Y DEPOSITOS DE LIQUIDOS;1
EN EL MUNICIPI;2008;8541;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;3
EN EL MUNICIPI;2008;8561;1;ALQUILER DE BIENES DE CONSUMO;2
EN EL MUNICIPI;2008;8562;1;ALQUILER DE PELICULAS DE VIDEO;5
EN EL MUNICIPI;2008;853;1;ALQUILER MAQ. Y EQUIPO CONTABLE;1
EN EL MUNICIPI;2008;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;9
EN EL MUNICIPI;2008;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;5
EN EL MUNICIPI;2008;411;2;ARQUITECTOS;34
EN EL MUNICIPI;2008;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;37
EN EL MUNICIPI;2008;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);7
EN EL MUNICIPI;2008;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;2
EN EL MUNICIPI;2008;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;6
EN EL MUNICIPI;2008;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;6
EN EL MUNICIPI;2008;881;2;ASTROLOGOS Y SIMILARES;1
EN EL MUNICIPI;2008;747;2;AUDITORES DE CUENTAS Y CENSORES JURADOS;3
EN EL MUNICIPI;2008;024;2;AUXILIARES Y AYUDANTES VETERINARIA;1
EN EL MUNICIPI;2008;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;26
EN EL MUNICIPI;2008;811;1;BANCA;6
EN EL MUNICIPI;2008;6731;1;BARES CATEGORIA ESPECIAL;2
EN EL MUNICIPI;2008;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;7
EN EL MUNICIPI;2008;675;1;CAFES-BARES EN QUIOSCOS,CAJONES,BARRACAS;1
EN EL MUNICIPI;2008;812;1;CAJAS DE AHORRO;34
EN EL MUNICIPI;2008;5055;1;CARPINTERIA Y CERRAJERIA;94
EN EL MUNICIPI;2008;676;1;CHOCOLATERIAS,HELADERIAS Y HORCHATERIAS;1
EN EL MUNICIPI;2008;5024;1;CIMENTACIONES Y PAVIMENTACIONES;2
EN EL MUNICIPI;2008;8491;1;COBROS DE DEUDAS Y CONFECCION FACTURAS;1
EN EL MUNICIPI;2008;5054;1;COLOCACION DE AISLAMIENTOS EN EDIFICIOS;43
EN EL MUNICIPI;2008;6153;1;COM. MAY. APARATOS ELECTRODOMESTICOS;12
EN EL MUNICIPI;2008;611;1;COM. MAY. TODA CLASE DE MERCANCIAS;1
EN EL MUNICIPI;2008;6536;1;COM. MEN. ARTICULOS DE  BRICOLAGE ;1
EN EL MUNICIPI;2008;6124;1;COM.MAY. CARNES,HUEVOS,AVES Y CAZA;7
EN EL MUNICIPI;2008;6172;1;COM.MAY. CUEROS Y PIELES EN BRUTO;1
EN EL MUNICIPI;2008;6152;1;COM.MAY. DE MUEBLES;3
EN EL MUNICIPI;2008;6192;1;COM.MAY. INSTRUM. MEDICOS Y ORTOPEDICOS;4
EN EL MUNICIPI;2008;6191;1;COM.MAY. JUGUETES Y ARTICULOS DEPORTE;3
EN EL MUNICIPI;2008;6196;1;COM.MAY. LIBROS, PERIODICOS Y REVISTAS;1
EN EL MUNICIPI;2008;6173;1;COM.MAY. MADERA Y CORCHO;3
EN EL MUNICIPI;2008;6175;1;COM.MAY. MAQUINARIA PARA MADERA Y METAL;5
EN EL MUNICIPI;2008;6177;1;COM.MAY. MAQUINARIA TEXTIL;1
EN EL MUNICIPI;2008;6178;1;COM.MAY. MAQUINAS Y MATERIAL OFICINA;5
EN EL MUNICIPI;2008;6174;1;COM.MAY. MATERIALES CONSTRUCCION;4
EN EL MUNICIPI;2008;6164;1;COM.MAY. METALES NO FERREOS;1
EN EL MUNICIPI;2008;6193;1;COM.MAY. METALES PRECIOSOS, Y JOYERIA;3
EN EL MUNICIPI;2008;6128;1;COM.MAY. PESCADOS;2
EN EL MUNICIPI;2008;6165;1;COM.MAY. PETROLEO Y LUBRICANTES;1
EN EL MUNICIPI;2008;6133;1;COM.MAY. PRENDAS EXTERIORES VESTIR;9
EN EL MUNICIPI;2008;6139;1;COM.MAY.ACCESORIOS VESTIDO NCOP;1
EN EL MUNICIPI;2008;6154;1;COM.MAY.APAR.Y MAT. ELECTRONICO;13
EN EL MUNICIPI;2008;6195;1;COM.MAY.ART.PAPELERIA Y ESCRITORIO;5
EN EL MUNICIPI;2008;6126;1;COM.MAY.BEBIDAS Y TABACO;5
EN EL MUNICIPI;2008;6134;1;COM.MAY.CALZADO,PELETERIA,MARROQUINERIA;3
EN EL MUNICIPI;2008;6135;1;COM.MAY.CAMISERIA,LENCERIA,MERCERIA,...;12
EN EL MUNICIPI;2008;6122;1;COM.MAY.CEREALES,PLANTAS,ABONOS,ANIMALES;1
EN EL MUNICIPI;2008;621;1;COM.MAY.CHATARRA Y METALES DESECHO;2
EN EL MUNICIPI;2008;6123;1;COM.MAY.FRUTAS Y VERDURAS;2
EN EL MUNICIPI;2008;6197;1;COM.MAY.INSTRUM.PRECISION Y MEDIDA;2
EN EL MUNICIPI;2008;6179;1;COM.MAY.INTERINDUSTRIAL EXCEP. QUIMICA;24
EN EL MUNICIPI;2008;6125;1;COM.MAY.LECHE,PTOS.LACTEOS, MIEL, ACEITE;1
EN EL MUNICIPI;2008;6159;1;COM.MAY.OTROS ART. CONSUMO DURADERO NCOP;4
EN EL MUNICIPI;2008;6199;1;COM.MAY.OTROS PRODUCTOS NCOP;3
EN EL MUNICIPI;2008;6129;1;COM.MAY.OTROS PTOS. ALIMENT.,HELADOS ETC;13
EN EL MUNICIPI;2008;622;1;COM.MAY.OTROS PTOS. RECUPERACION;2
EN EL MUNICIPI;2008;6194;1;COM.MAY.PTOS. DE PAPEL Y CARTON;3
EN EL MUNICIPI;2008;6166;1;COM.MAY.PTOS. QUIMICOS INDUSTRIALES;5
