DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;2020;731;2;ABOGADOS;33
EN EL MUNICIPI;2020;436;1;ACABADO DE TEXTILES;1
EN EL MUNICIPI;2020;4685;1;ACTIV. ANEXAS IND. MUEBLE;1
EN EL MUNICIPI;2020;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;2
EN EL MUNICIPI;2020;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;1
EN EL MUNICIPI;2020;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;1
EN EL MUNICIPI;2020;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;3
EN EL MUNICIPI;2020;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;5
EN EL MUNICIPI;2020;755;1;AGENCIAS DE VIAJES;2
EN EL MUNICIPI;2020;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;1
EN EL MUNICIPI;2020;511;2;AGENTES COMERCIALES;22
EN EL MUNICIPI;2020;728;2;AGENTES DE ADUANAS;1
EN EL MUNICIPI;2020;712;2;AGENTES Y CORREDORES DE SEGUROS;11
EN EL MUNICIPI;2020;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;11
EN EL MUNICIPI;2020;5013;1;ALBAùILERIA Y PEQ. TRABAJOS CONSTRUCCION;52
EN EL MUNICIPI;2020;8541;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;2
EN EL MUNICIPI;2020;8561;1;ALQUILER DE BIENES DE CONSUMO;2
EN EL MUNICIPI;2020;8562;1;ALQUILER DE PELICULAS DE VIDEO;1
EN EL MUNICIPI;2020;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;1
EN EL MUNICIPI;2020;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;5
EN EL MUNICIPI;2020;411;2;ARQUITECTOS;16
EN EL MUNICIPI;2020;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;21
EN EL MUNICIPI;2020;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);4
EN EL MUNICIPI;2020;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;2
EN EL MUNICIPI;2020;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;2
EN EL MUNICIPI;2020;881;2;ASTROLOGOS Y SIMILARES;1
EN EL MUNICIPI;2020;747;2;AUDITORES DE CUENTAS Y CENSORES JURADOS;2
EN EL MUNICIPI;2020;024;2;AUXILIARES Y AYUDANTES VETERINARIA;1
EN EL MUNICIPI;2020;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;17
EN EL MUNICIPI;2020;811;1;BANCA;14
EN EL MUNICIPI;2020;6731;1;BARES CATEGORIA ESPECIAL;1
EN EL MUNICIPI;2020;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;3
EN EL MUNICIPI;2020;6746;1;CAFE-BAR TEATROS Y CINES;1
EN EL MUNICIPI;2020;5055;1;CARPINTERIA Y CERRAJERIA;12
EN EL MUNICIPI;2020;5054;1;COLOCACION DE AISLAMIENTOS EN EDIFICIOS;8
EN EL MUNICIPI;2020;6153;1;COM. MAY. APARATOS ELECTRODOMESTICOS;6
EN EL MUNICIPI;2020;611;1;COM. MAY. TODA CLASE DE MERCANCIAS;1
EN EL MUNICIPI;2020;6124;1;COM.MAY. CARNES,HUEVOS,AVES Y CAZA;3
EN EL MUNICIPI;2020;6172;1;COM.MAY. CUEROS Y PIELES EN BRUTO;1
EN EL MUNICIPI;2020;6152;1;COM.MAY. DE MUEBLES;3
EN EL MUNICIPI;2020;6192;1;COM.MAY. INSTRUM. MEDICOS Y ORTOPEDICOS;5
EN EL MUNICIPI;2020;6191;1;COM.MAY. JUGUETES Y ARTICULOS DEPORTE;4
EN EL MUNICIPI;2020;6196;1;COM.MAY. LIBROS, PERIODICOS Y REVISTAS;1
EN EL MUNICIPI;2020;6173;1;COM.MAY. MADERA Y CORCHO;1
EN EL MUNICIPI;2020;6175;1;COM.MAY. MAQUINARIA PARA MADERA Y METAL;5
EN EL MUNICIPI;2020;6178;1;COM.MAY. MAQUINAS Y MATERIAL OFICINA;3
EN EL MUNICIPI;2020;6174;1;COM.MAY. MATERIALES CONSTRUCCION;4
EN EL MUNICIPI;2020;6128;1;COM.MAY. PESCADOS;1
EN EL MUNICIPI;2020;6133;1;COM.MAY. PRENDAS EXTERIORES VESTIR;2
EN EL MUNICIPI;2020;6154;1;COM.MAY.APAR.Y MAT. ELECTRONICO;9
EN EL MUNICIPI;2020;6195;1;COM.MAY.ART.PAPELERIA Y ESCRITORIO;4
EN EL MUNICIPI;2020;6126;1;COM.MAY.BEBIDAS Y TABACO;2
EN EL MUNICIPI;2020;6134;1;COM.MAY.CALZADO,PELETERIA,MARROQUINERIA;2
EN EL MUNICIPI;2020;6135;1;COM.MAY.CAMISERIA,LENCERIA,MERCERIA,...;4
EN EL MUNICIPI;2020;621;1;COM.MAY.CHATARRA Y METALES DESECHO;2
EN EL MUNICIPI;2020;6123;1;COM.MAY.FRUTAS Y VERDURAS;1
EN EL MUNICIPI;2020;6197;1;COM.MAY.INSTRUM.PRECISION Y MEDIDA;4
EN EL MUNICIPI;2020;6179;1;COM.MAY.INTERINDUSTRIAL EXCEP. QUIMICA;19
EN EL MUNICIPI;2020;6125;1;COM.MAY.LECHE,PTOS.LACTEOS, MIEL, ACEITE;3
