CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;2001;731;2;ABOGADOS;125
EN EL MUNICIPI;2001;436;1;ACABADO DE TEXTILES;6
EN EL MUNICIPI;2001;4685;1;ACTIV. ANEXAS IND. MUEBLE;20
EN EL MUNICIPI;2001;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;28
EN EL MUNICIPI;2001;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;25
EN EL MUNICIPI;2001;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;2
EN EL MUNICIPI;2001;013;3;ACTORES DE CINE Y TEATRO;1
EN EL MUNICIPI;2001;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;9
EN EL MUNICIPI;2001;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;2
EN EL MUNICIPI;2001;723;2;ADMINISTRADORES DE FINCAS;8
EN EL MUNICIPI;2001;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;28
EN EL MUNICIPI;2001;755;1;AGENCIAS DE VIAJES;25
EN EL MUNICIPI;2001;974;1;AGENCIAS PRESTACION SERV. DOMESTICOS;1
EN EL MUNICIPI;2001;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;7
EN EL MUNICIPI;2001;511;2;AGENTES COMERCIALES;132
EN EL MUNICIPI;2001;728;2;AGENTES DE ADUANAS;2
EN EL MUNICIPI;2001;712;2;AGENTES Y CORREDORES DE SEGUROS;86
EN EL MUNICIPI;2001;5013;1;ALBAùILERIA Y PEQ. TRABAJOS CONSTRUCCION;327
EN EL MUNICIPI;2001;7545;1;ALMACENES Y DEPOSITOS DE LIQUIDOS;1
EN EL MUNICIPI;2001;854;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;1
EN EL MUNICIPI;2001;8541;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;8
EN EL MUNICIPI;2001;8561;1;ALQUILER DE BIENES DE CONSUMO;9
EN EL MUNICIPI;2001;8552;1;ALQUILER DE EMBARCACIONES;1
EN EL MUNICIPI;2001;8562;1;ALQUILER DE PELICULAS DE VIDEO;43
