CODI_DIVISIO_TERRITORIAL;ANY;EPIGRAF;SECCIO;DESCRIPCIO_EPIGRAF;TOTAL
EN EL MUNICIPI;1999;731;2;ABOGADOS;71
EN EL MUNICIPI;1999;436;1;ACABADO DE TEXTILES;2
EN EL MUNICIPI;1999;4685;1;ACTIV. ANEXAS IND. MUEBLE;5
EN EL MUNICIPI;1999;756;1;ACTIV. AUXILIARES Y COMPLEMENTARIAS TTE.;7
EN EL MUNICIPI;1999;475;1;ACTIVIDADES ANEXAS ARTES GRAFICAS;8
EN EL MUNICIPI;1999;019;3;ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP;5
EN EL MUNICIPI;1999;013;3;ACTORES DE CINE Y TEATRO;2
EN EL MUNICIPI;1999;841;2;ACUPUNTORES, NATUROPATAS Y OTROS;2
EN EL MUNICIPI;1999;9794;1;ADIESTRAMIENTO Y CUIDADOS DE ANIMALES;1
EN EL MUNICIPI;1999;723;2;ADMINISTRADORES DE FINCAS;2
EN EL MUNICIPI;1999;8321;1;AGENCIAS DE SEGUROS Y CORREDURIAS;4
EN EL MUNICIPI;1999;755;1;AGENCIAS DE VIAJES;4
EN EL MUNICIPI;1999;974;1;AGENCIAS PRESTACION SERV. DOMESTICOS;1
EN EL MUNICIPI;1999;721;2;AGENTES COLEGIADOS PROPIEDAD IND.E INMOB;1
EN EL MUNICIPI;1999;511;2;AGENTES COMERCIALES;133
EN EL MUNICIPI;1999;728;2;AGENTES DE ADUANAS;2
EN EL MUNICIPI;1999;713;2;AGENTES DE SEGUROS AFECTOS;29
EN EL MUNICIPI;1999;712;2;AGENTES REPRESENTANTES DE SEGUROS;3
EN EL MUNICIPI;1999;508;1;AGRUPACIONES Y UNIONES TEMPOR. EMPRESAS;9
EN EL MUNICIPI;1999;5013;1;ALBAùILERIA Y PEQ. TRABAJOS CONSTRUCCION;251
EN EL MUNICIPI;1999;7545;1;ALMACENES Y DEPOSITOS DE LIQUIDOS;1
EN EL MUNICIPI;1999;854;1;ALQUILER AUTOMOVILES SIN CONDUCTOR;5
EN EL MUNICIPI;1999;8561;1;ALQUILER DE BIENES DE CONSUMO;4
EN EL MUNICIPI;1999;8552;1;ALQUILER DE EMBARCACIONES;1
EN EL MUNICIPI;1999;8562;1;ALQUILER DE PELICULAS DE VIDEO;7
EN EL MUNICIPI;1999;852;1;ALQUILER MAQUINARIA Y EQUIP. CONSTRUCC.;7
EN EL MUNICIPI;1999;859;1;ALQUILER OTROS BIENES MUEBLES NCOP;3
EN EL MUNICIPI;1999;8559;1;ALQUILER OTROS MEDIOS TRANSP. N.C.O.P.;1
EN EL MUNICIPI;1999;048;3;ARBITROS DE ESPECTACULOS DEPORTIVOS;1
EN EL MUNICIPI;1999;411;2;ARQUITECTOS;30
EN EL MUNICIPI;1999;421;2;ARQUITECTOS TECNICOS Y APAREJADORES;38
EN EL MUNICIPI;1999;474;1;ARTES GRAFICAS (IMPRESION GRAFICA);14
EN EL MUNICIPI;1999;822;1;ASEGURADORAS DE ENFERMEDAD Y RIESGOS;2
EN EL MUNICIPI;1999;952;1;ASIST. Y SERV. DISMINUIDOS NO RESIDENC.;5
EN EL MUNICIPI;1999;951;1;ASISTENCIA Y SERV. SOCIALES DISMINUIDOS;4
EN EL MUNICIPI;1999;881;2;ASTROLOGOS Y SIMILARES;1
EN EL MUNICIPI;1999;747;2;AUDITORES DE CUENTAS Y CENSORES JURADOS;3
EN EL MUNICIPI;1999;836;2;AYUD. TECN. SANITARIOS Y FISIOTERAPEUTAS;24
EN EL MUNICIPI;1999;811;1;BANCA;11
EN EL MUNICIPI;1999;6731;1;BARES CATEGORIA ESPECIAL;4
EN EL MUNICIPI;1999;4912;1;BISUTERIA;2
EN EL MUNICIPI;1999;6745;1;CAFE-BAR SOCIEDADES,CASINOS,CLUBES...;8
EN EL MUNICIPI;1999;6746;1;CAFE-BAR TEATROS Y CINES;1
EN EL MUNICIPI;1999;812;1;CAJAS DE AHORRO;21
EN EL MUNICIPI;1999;5055;1;CARPINTERIA Y CERRAJERIA;102
EN EL MUNICIPI;1999;676;1;CHOCOLATERIAS,HELADERIAS Y HORCHATERIAS;2
EN EL MUNICIPI;1999;5024;1;CIMENTACIONES Y PAVIMENTACIONES;2
EN EL MUNICIPI;1999;5054;1;COLOCACION DE AISLAMIENTOS EN EDIFICIOS;47
EN EL MUNICIPI;1999;6153;1;COM. MAY. APARATOS ELECTRODOMESTICOS;5
EN EL MUNICIPI;1999;611;1;COM. MAY. TODA CLASE DE MERCANCIAS;1
EN EL MUNICIPI;1999;6536;1;COM. MEN. ARTICULOS DE  BRICOLAGE ;1
EN EL MUNICIPI;1999;6124;1;COM.MAY. CARNES,HUEVOS,AVES Y CAZA;4
EN EL MUNICIPI;1999;6172;1;COM.MAY. CUEROS Y PIELES EN BRUTO;1
EN EL MUNICIPI;1999;6152;1;COM.MAY. DE MUEBLES;2
EN EL MUNICIPI;1999;6162;1;COM.MAY. HIERRO Y ACERO;2
EN EL MUNICIPI;1999;6192;1;COM.MAY. INSTRUM. MEDICOS Y ORTOPEDICOS;4
EN EL MUNICIPI;1999;6191;1;COM.MAY. JUGUETES Y ARTICULOS DEPORTE;3
EN EL MUNICIPI;1999;6196;1;COM.MAY. LIBROS, PERIODICOS Y REVISTAS;1
EN EL MUNICIPI;1999;6173;1;COM.MAY. MADERA Y CORCHO;3
EN EL MUNICIPI;1999;6176;1;COM.MAY. MAQUINARIA AGRICOLA;1
EN EL MUNICIPI;1999;6175;1;COM.MAY. MAQUINARIA PARA MADERA Y METAL;7
EN EL MUNICIPI;1999;6178;1;COM.MAY. MAQUINAS Y MATERIAL OFICINA;4
EN EL MUNICIPI;1999;6174;1;COM.MAY. MATERIALES CONSTRUCCION;7
EN EL MUNICIPI;1999;6164;1;COM.MAY. METALES NO FERREOS;1
EN EL MUNICIPI;1999;6193;1;COM.MAY. METALES PRECIOSOS, Y JOYERIA;4
EN EL MUNICIPI;1999;6128;1;COM.MAY. PESCADOS;2
EN EL MUNICIPI;1999;6165;1;COM.MAY. PETROLEO Y LUBRICANTES;3
EN EL MUNICIPI;1999;6133;1;COM.MAY. PRENDAS EXTERIORES VESTIR;14
EN EL MUNICIPI;1999;6139;1;COM.MAY.ACCESORIOS VESTIDO NCOP;1
EN EL MUNICIPI;1999;6154;1;COM.MAY.APAR.Y MAT. ELECTRONICO;5
EN EL MUNICIPI;1999;6195;1;COM.MAY.ART.PAPELERIA Y ESCRITORIO;2
EN EL MUNICIPI;1999;6126;1;COM.MAY.BEBIDAS Y TABACO;3
EN EL MUNICIPI;1999;6134;1;COM.MAY.CALZADO,PELETERIA,MARROQUINERIA;3
EN EL MUNICIPI;1999;6135;1;COM.MAY.CAMISERIA,LENCERIA,MERCERIA,...;10
EN EL MUNICIPI;1999;6122;1;COM.MAY.CEREALES,PLANTAS,ABONOS,ANIMALES;2
EN EL MUNICIPI;1999;621;1;COM.MAY.CHATARRA Y METALES DESECHO;6
EN EL MUNICIPI;1999;6123;1;COM.MAY.FRUTAS Y VERDURAS;2
EN EL MUNICIPI;1999;6197;1;COM.MAY.INSTRUM.PRECISION Y MEDIDA;1
EN EL MUNICIPI;1999;6179;1;COM.MAY.INTERINDUSTRIAL EXCEP. QUIMICA;26
EN EL MUNICIPI;1999;6125;1;COM.MAY.LECHE,PTOS.LACTEOS, MIEL, ACEITE;2
EN EL MUNICIPI;1999;6159;1;COM.MAY.OTROS ART. CONSUMO DURADERO NCOP;5
EN EL MUNICIPI;1999;6199;1;COM.MAY.OTROS PRODUCTOS NCOP;2
EN EL MUNICIPI;1999;6129;1;COM.MAY.OTROS PTOS. ALIMENT.,HELADOS ETC;23
EN EL MUNICIPI;1999;622;1;COM.MAY.OTROS PTOS. RECUPERACION;5
EN EL MUNICIPI;1999;6194;1;COM.MAY.PTOS. DE PAPEL Y CARTON;4
EN EL MUNICIPI;1999;6166;1;COM.MAY.PTOS. QUIMICOS INDUSTRIALES;2
EN EL MUNICIPI;1999;6121;1;COM.MAY.PTOS.ALIMENTIC.BEBIDAS Y TABACOS;8
EN EL MUNICIPI;1999;6141;1;COM.MAY.PTOS.FARMACEUTICOS Y MEDICAMENTO;1
EN EL MUNICIPI;1999;6143;1;COM.MAY.PTOS.MANTENIMIENTO HOGAR;2
EN EL MUNICIPI;1999;6142;1;COM.MAY.PTOS.PERFUMERIA,DROGUERIA;8
EN EL MUNICIPI;1999;6131;1;COM.MAY.PTOS.TEXTILES,CONFECC, Y CALZADO;2
EN EL MUNICIPI;1999;6132;1;COM.MAY.TEJIDOS POR METROS, ALFOMBRAS;5
EN EL MUNICIPI;1999;6151;1;COM.MAY.VEHICULOS Y SUS ACCESORIOS;10
EN EL MUNICIPI;1999;657;1;COM.MEN. INSTRUMENTOS MUSICA Y ACCESORIO;1
EN EL MUNICIPI;1999;6542;1;COM.MEN.ACCESORIOS Y RECAMBIOS VEHICULOS;6
EN EL MUNICIPI;1999;6613;1;COM.MEN.ALMACENES POPULARES;3
EN EL MUNICIPI;1999;6532;1;COM.MEN.APARATOS DE USO DOMESTICO;29
EN EL MUNICIPI;1999;6593;1;COM.MEN.APARATOS MEDICOS, ORTOPEDICOS;16
EN EL MUNICIPI;1999;6649;1;COM.MEN.ART.DIVERSOS EN MAQUINAS;2
EN EL MUNICIPI;1999;6539;1;COM.MEN.ART.HOGAR NCOP;3
EN EL MUNICIPI;1999;6595;1;COM.MEN.ART.JOYERIA,RELOJERIA,BISUTERIA;14
EN EL MUNICIPI;1999;6533;1;COM.MEN.ART.MENAJE,FERRETERIA,ADORNO;26
EN EL MUNICIPI;1999;6445;1;COM.MEN.BOMBONES Y CARAMELOS;1
EN EL MUNICIPI;1999;6633;1;COM.MEN.CALZADO SIN ESTABLECIMIENTO;2
EN EL MUNICIPI;1999;6516;1;COM.MEN.CALZADO Y COMPLEMENTOS PIEL;8
EN EL MUNICIPI;1999;6553;1;COM.MEN.CARBURANTES Y ACEITES VEHICULOS;9
EN EL MUNICIPI;1999;6421;1;COM.MEN.CARNES,HUEVOS,CAZA Y GRANJA;4
EN EL MUNICIPI;1999;6424;1;COM.MEN.CARNICERIAS;32
EN EL MUNICIPI;1999;6422;1;COM.MEN.CARNICERIAS-CHARCUTERIAS;9
EN EL MUNICIPI;1999;6423;1;COM.MEN.CARNICERIAS-SALCHICHERIAS;9
EN EL MUNICIPI;1999;6426;1;COM.MEN.CASQUERIAS;2
EN EL MUNICIPI;1999;6546;1;COM.MEN.CUBIERTAS,BANDAS Y CAMARAS AIRE;2
EN EL MUNICIPI;1999;6545;1;COM.MEN.DE TODA CLASE DE MAQUINARIA;10
EN EL MUNICIPI;1999;6634;1;COM.MEN.DROGUERIA SIN ESTABLECIMIENTO;2
EN EL MUNICIPI;1999;6612;1;COM.MEN.EN HIPERMERCADOS;2
EN EL MUNICIPI;1999;641;1;COM.MEN.FRUTAS,VERDURAS;32
EN EL MUNICIPI;1999;6552;1;COM.MEN.GASES COMBUSTIBLES;1
EN EL MUNICIPI;1999;6611;1;COM.MEN.GRANDES ALMACENES;1
EN EL MUNICIPI;1999;6444;1;COM.MEN.HELADOS;9
EN EL MUNICIPI;1999;6425;1;COM.MEN.HUEVOS,AVES,GRANJA Y CAZA;17
EN EL MUNICIPI;1999;6596;1;COM.MEN.JUGUETES,ART.DEPORTE,ARMAS...;13
EN EL MUNICIPI;1999;6513;1;COM.MEN.LENCERIA Y CORSETERIA;7
EN EL MUNICIPI;1999;6594;1;COM.MEN.LIBROS,PERIODICOS,ART.PAPELERIA;63
EN EL MUNICIPI;1999;6446;1;COM.MEN.MASAS FRITAS;20
EN EL MUNICIPI;1999;6534;1;COM.MEN.MATERIALES DE CONSTRUCCION;18
EN EL MUNICIPI;1999;6514;1;COM.MEN.MERCERIA Y PAQUETERIA;7
EN EL MUNICIPI;1999;6531;1;COM.MEN.MUEBLES (EXCEPTO OFICINA);28
EN EL MUNICIPI;1999;6592;1;COM.MEN.MUEBLES Y MAQUINAS DE OFICINA;13
EN EL MUNICIPI;1999;6639;1;COM.MEN.OTRAS MERCANCIAS SIN ESTABLECIM.;17
EN EL MUNICIPI;1999;6599;1;COM.MEN.OTROS PTOS. NCOP;1
EN EL MUNICIPI;1999;6441;1;COM.MEN.PAN,PASTELES,CONFITERIA,LACTEOS;51
EN EL MUNICIPI;1999;6431;1;COM.MEN.PESCADOS;21
EN EL MUNICIPI;1999;6524;1;COM.MEN.PLANTAS Y HIERBAS,HERBORARIOS;5
EN EL MUNICIPI;1999;665;1;COM.MEN.POR CORREO O CATALOGO;1
EN EL MUNICIPI;1999;6512;1;COM.MEN.PRENDAS DE VESTIR Y TOCADO;39
EN EL MUNICIPI;1999;6472;1;COM.MEN.PTOS.ALIMENTICIOS MENOS 120 M2;28
EN EL MUNICIPI;1999;6631;1;COM.MEN.PTOS.ALIMENTICIOS SIN ESTABLEC.;4
EN EL MUNICIPI;1999;6474;1;COM.MEN.PTOS.ALIMENTICIOS SUP.400 M2;1
EN EL MUNICIPI;1999;6471;1;COM.MEN.PTOS.ALIMENTICIOS Y BEBIDAS;59
EN EL MUNICIPI;1999;6473;1;COM.MEN-PTOS.ALIMENTICIOS 120 - 399 M2;17
EN EL MUNICIPI;1999;6522;1;COM.MEN.PTOS.DROGUERIA,PERFUMERIA;20
EN EL MUNICIPI;1999;6443;1;COM.MEN.PTOS.PASTELERIA,BOLLERIA;5
EN EL MUNICIPI;1999;6523;1;COM.MEN.PTOS.PERFUMERIA Y COSMETICA;1
EN EL MUNICIPI;1999;6511;1;COM.MEN.PTOS.TEXTILES PARA EL HOGAR;7
EN EL MUNICIPI;1999;6535;1;COM.MEN.PUERTAS,VENTANAS Y PERSIANAS;6
EN EL MUNICIPI;1999;6591;1;COM.MEN.SELLOS,MONEDAS,MEDALLAS,COLECC.;2
EN EL MUNICIPI;1999;6597;1;COM.MEN.SEMILLAS,ABONOS,FLORES,PLANTAS;18
EN EL MUNICIPI;1999;6464;1;COM.MEN.TABACO CON VENTA POR RECARGO;57
EN EL MUNICIPI;1999;6465;1;COM.MEN.TABACO MAQUINAS AUTOMATICAS;183
EN EL MUNICIPI;1999;6461;1;COM.MEN.TABACOS EN EXPENDIDURIA;8
EN EL MUNICIPI;1999;6632;1;COM.MEN.TEXTILES Y CONFECC.SIN ESTABLEC.;11
EN EL MUNICIPI;1999;6622;1;COM.MEN.TODA CLASE ART. EN OTROS LOCALES;10
EN EL MUNICIPI;1999;6544;1;COM.MEN.VEHICULOS FLUVIALES Y MARITIMOS;1
EN EL MUNICIPI;1999;6541;1;COM.MEN.VEHICULOS TERRESTRES;15
EN EL MUNICIPI;1999;645;1;COM.MEN.VINOS Y BEBIDAS;2
EN EL MUNICIPI;1999;612;2;CONDUCTORES DE VEHICULOS TERRESTRES;1
EN EL MUNICIPI;1999;4551;1;CONFECC. ART. TEXTILES HOGAR/TAPICERIA;1
EN EL MUNICIPI;1999;454;1;CONFECC. MEDIDA PRENDAS VESTIR;3
EN EL MUNICIPI;1999;4559;1;CONFECC. OTROS ART. TEXTILES NCOP;1
EN EL MUNICIPI;1999;453;1;CONFECC. TODA CLASE PRENDAS VESTIR;80
EN EL MUNICIPI;1999;3221;1;CONS. MAQUINAS PARA TRABAJAR METALES;3
