CODI_DIVISIO_TERRITORIAL;CDINE;NACIONALITAT;NRE_HOMES;NRE_DONES
S-01001;125;REGNE UNIT;3;3
S-01001;108;ESPANYA;670;722
S-01001;;ALTRES;15;22
S-01001;321;HONDURES;4;6
S-01002;108;ESPANYA;511;640
S-01002;110;FRANÇA;5;4
S-01002;;ALTRES;29;37
S-01002;342;BRASIL;3;3
S-01002;115;ITALIA;6;5
S-01003;108;ESPANYA;438;484
S-01003;115;ITALIA;3;5
S-01003;128;ROMANIA;3;5
S-01003;;ALTRES;19;25
S-01004;;ALTRES;21;23
S-01004;108;ESPANYA;663;716
S-01004;115;ITALIA;3;5
S-01005;110;FRANÇA;12;7
S-01005;347;PARAGUAI;3;9
S-01005;;ALTRES;23;29
S-01005;407;XINA;3;5
S-01005;108;ESPANYA;644;760
S-01005;115;ITALIA;4;4
S-01007;;ALTRES;29;33
S-01007;115;ITALIA;7;4
S-01007;108;ESPANYA;540;624
S-02001;228;MARROC;11;10
S-02001;122;POLONIA;4;5
S-02001;;ALTRES;22;20
S-02001;108;ESPANYA;590;661
S-02001;351;VENEÇUELA;4;4
S-02001;345;EQUADOR;5;3
S-02001;216;GAMBIA;6;5
S-02001;407;XINA;4;8
S-02001;115;ITALIA;6;3
S-02002;407;XINA;4;5
S-02002;;ALTRES;64;32
S-02002;108;ESPANYA;743;845
S-02002;343;COLOMBIA;3;3
S-02002;351;VENEÇUELA;9;4
S-02003;;ALTRES;20;25
S-02003;108;ESPANYA;391;463
S-02004;108;ESPANYA;941;1.005
S-02004;;ALTRES;19;42
S-02004;407;XINA;9;3
S-02004;115;ITALIA;8;4
S-02005;115;ITALIA;4;6
S-02005;341;BOLIVIA;7;4
S-02005;326;REPUBLICA DOMINICANA;3;4
S-02005;426;PAKISTAN;16;3
S-02005;;ALTRES;27;36
S-02005;108;ESPANYA;559;581
S-02005;154;RUSSIA;5;4
S-02005;228;MARROC;17;17
S-02005;343;COLOMBIA;3;3
S-02007;410;INDIA;12;6
S-02007;;ALTRES;37;40
S-02007;228;MARROC;29;35
S-02007;321;HONDURES;5;6
S-02007;128;ROMANIA;7;6
S-02007;344;XILE;4;4
S-02007;343;COLOMBIA;5;4
S-02007;407;XINA;5;5
S-02007;426;PAKISTAN;13;5
S-02007;108;ESPANYA;493;509
S-02007;345;EQUADOR;6;12
S-02008;407;XINA;5;10
S-02008;342;BRASIL;3;4
S-02008;108;ESPANYA;1.003;1.124
S-02008;115;ITALIA;10;4
S-02008;228;MARROC;4;3
S-02008;;ALTRES;32;43
S-02009;;ALTRES;32;37
S-02009;426;PAKISTAN;23;4
S-02009;321;HONDURES;3;7
S-02009;343;COLOMBIA;7;5
S-02009;410;INDIA;18;11
S-02009;148;ARMENIA;5;3
S-02009;342;BRASIL;3;3
S-02009;326;REPUBLICA DOMINICANA;3;5
S-02009;341;BOLIVIA;3;11
S-02009;345;EQUADOR;3;3
S-02009;128;ROMANIA;11;7
S-02009;228;MARROC;54;51
S-02009;407;XINA;6;5
S-02009;108;ESPANYA;443;475
S-02009;351;VENEÇUELA;4;5
S-02010;128;ROMANIA;5;3
S-02010;345;EQUADOR;5;4
S-02010;426;PAKISTAN;13;10
S-02010;;ALTRES;37;29
S-02010;343;COLOMBIA;3;3
S-02010;108;ESPANYA;634;666
S-02010;228;MARROC;25;29
S-02010;135;UCRAINA;4;4
S-02010;407;XINA;7;8
S-02011;426;PAKISTAN;16;6
S-02011;108;ESPANYA;649;708
S-02011;407;XINA;3;5
S-02011;148;ARMENIA;14;15
S-02011;115;ITALIA;6;4
S-02011;;ALTRES;46;26
S-02011;154;RUSSIA;4;3
S-02011;128;ROMANIA;3;8
S-02011;228;MARROC;14;7
S-02012;351;VENEÇUELA;6;6
S-02012;108;ESPANYA;465;507
S-02012;228;MARROC;10;5
S-02012;218;GUINEA;4;4
S-02012;407;XINA;5;7
S-02012;;ALTRES;29;33
S-02013;426;PAKISTAN;13;14
S-02013;;ALTRES;64;39
S-02013;410;INDIA;3;3
S-02013;351;VENEÇUELA;4;6
S-02013;108;ESPANYA;501;489
S-02013;347;PARAGUAI;4;5
S-02013;228;MARROC;39;48
S-02013;135;UCRAINA;3;7
S-02015;108;ESPANYA;434;448
S-02015;;ALTRES;36;27
S-02015;228;MARROC;25;21
S-02015;340;ARGENTINA;5;3
S-02015;351;VENEÇUELA;8;7
S-02015;407;XINA;8;9
S-02015;347;PARAGUAI;4;4
S-03001;228;MARROC;16;10
S-03001;148;ARMENIA;3;4
S-03001;135;UCRAINA;5;11
S-03001;115;ITALIA;10;8
S-03001;;ALTRES;31;47
S-03001;426;PAKISTAN;14;6
S-03001;128;ROMANIA;6;5
S-03001;341;BOLIVIA;13;6
S-03001;340;ARGENTINA;3;3
S-03001;108;ESPANYA;1.014;1.099
S-03001;410;INDIA;12;3
S-03001;343;COLOMBIA;5;6
S-03001;407;XINA;67;58
S-03001;154;RUSSIA;12;16
S-03001;345;EQUADOR;6;6
S-03003;128;ROMANIA;5;4
S-03003;;ALTRES;50;42
S-03003;139;GEORGIA;9;4
S-03003;407;XINA;23;14
S-03003;108;ESPANYA;821;862
S-03003;341;BOLIVIA;10;3
S-03003;343;COLOMBIA;6;5
S-03003;135;UCRAINA;3;4
S-03003;228;MARROC;6;9
S-03003;410;INDIA;12;4
S-03004;407;XINA;5;3
S-03004;108;ESPANYA;826;864
S-03004;135;UCRAINA;3;4
S-03004;;ALTRES;33;40
S-03005;426;PAKISTAN;21;10
S-03005;135;UCRAINA;5;7
S-03005;154;RUSSIA;3;3
S-03005;228;MARROC;19;18
S-03005;341;BOLIVIA;6;5
S-03005;407;XINA;10;13
S-03005;128;ROMANIA;3;3
S-03005;108;ESPANYA;654;653
S-03005;115;ITALIA;7;6
S-03005;;ALTRES;33;28
S-03005;351;VENEÇUELA;4;3
S-03006;407;XINA;6;5
S-03006;108;ESPANYA;567;614
S-03006;;ALTRES;32;36
S-03007;;ALTRES;7;6
S-03007;108;ESPANYA;561;672
S-03007;407;XINA;4;3
S-03007;154;RUSSIA;4;4
S-03008;108;ESPANYA;312;345
S-03008;;ALTRES;25;31
S-03008;110;FRANÇA;4;3
S-03008;148;ARMENIA;4;3
S-03009;302;ESTATS UNITS;4;3
S-03009;108;ESPANYA;760;909
S-03009;407;XINA;6;13
S-03009;;ALTRES;36;44
S-03009;115;ITALIA;12;9
S-03009;228;MARROC;3;3
S-03009;341;BOLIVIA;4;3
S-03010;228;MARROC;5;5
S-03010;154;RUSSIA;3;5
S-03010;135;UCRAINA;4;3
S-03010;;ALTRES;36;16
S-03010;426;PAKISTAN;3;3
S-03010;108;ESPANYA;379;424
S-03010;407;XINA;21;22
S-03011;;ALTRES;32;34
S-03011;407;XINA;6;7
S-03011;135;UCRAINA;8;10
S-03011;108;ESPANYA;545;566
S-03011;115;ITALIA;7;7
