CODI_DIVISIO_TERRITORIAL;CODI_NACIONALITAT;DESC_NACIONALITAT;NRE_HOMES;NRE_DONES
S-01001;;ALTRES;20;28
S-01001;108;ESPANYA;643;715
S-01002;108;ESPANYA;504;633
S-01002;;ALTRES;33;32
S-01002;407;XINA;7;4
S-01002;115;ITALIA;12;5
S-01002;341;BOLIVIA;4;3
S-01003;;ALTRES;16;21
S-01003;108;ESPANYA;412;457
S-01004;;ALTRES;21;27
S-01004;108;ESPANYA;374;388
S-01005;108;ESPANYA;606;682
S-01005;228;MARROC;3;3
S-01005;115;ITALIA;4;5
S-01005;407;XINA;4;8
S-01005;345;ECUADOR;4;3
S-01005;340;ARGENTINA;3;6
S-01005;;ALTRES;30;35
S-01007;108;ESPANYA;488;608
S-01007;104;BULGARIA;3;5
S-01007;;ALTRES;34;35
S-01008;;ALTRES;13;15
S-01008;108;ESPANYA;281;301
S-02001;407;XINA;3;5
S-02001;;ALTRES;51;37
S-02001;228;MARROC;7;10
S-02001;108;ESPANYA;565;610
S-02001;341;BOLIVIA;8;8
S-02002;108;ESPANYA;725;802
S-02002;407;XINA;3;3
S-02002;;ALTRES;26;32
S-02003;104;BULGARIA;3;4
S-02003;108;ESPANYA;386;422
S-02003;115;ITALIA;4;3
S-02003;;ALTRES;16;21
S-02004;115;ITALIA;8;7
S-02004;303;MEXIC;9;3
S-02004;108;ESPANYA;888;971
S-02004;347;PARAGUAI;3;3
S-02004;340;ARGENTINA;4;3
S-02004;;ALTRES;23;38
S-02005;108;ESPANYA;546;551
S-02005;228;MARROC;21;9
S-02005;407;XINA;3;3
S-02005;342;BRASIL;3;3
S-02005;326;REP. DOMINICANA;3;3
S-02005;;ALTRES;36;40
S-02007;410;INDIA;12;12
S-02007;228;MARROC;29;28
S-02007;345;ECUADOR;12;12
S-02007;407;XINA;16;13
S-02007;239;SENEGAL;3;3
S-02007;426;PAKISTAN;5;4
S-02007;108;ESPANYA;519;527
S-02007;347;PARAGUAI;3;3
S-02007;135;UCRAINA;4;4
S-02007;128;ROMANIA;5;7
S-02007;;ALTRES;31;50
S-02008;407;XINA;5;5
S-02008;115;ITALIA;7;3
S-02008;341;BOLIVIA;7;4
S-02008;;ALTRES;24;23
S-02008;108;ESPANYA;922;1033
S-02008;340;ARGENTINA;3;3
S-02009;345;ECUADOR;12;9
S-02009;216;GAMBIA;5;4
S-02009;128;ROMANIA;7;7
S-02009;228;MARROC;73;63
S-02009;;ALTRES;42;49
S-02009;426;PAKISTAN;31;6
S-02009;139;GEORGIA;4;4
S-02009;348;PERU;3;3
S-02009;108;ESPANYA;419;447
S-02009;410;INDIA;24;11
S-02010;407;XINA;11;5
S-02010;115;ITALIA;3;4
S-02010;128;ROMANIA;13;6
S-02010;108;ESPANYA;630;673
S-02010;228;MARROC;28;36
S-02010;;ALTRES;45;37
S-02011;128;ROMANIA;4;5
S-02011;148;ARMENIA;16;13
S-02011;108;ESPANYA;713;726
S-02011;;ALTRES;39;24
S-02011;228;MARROC;8;11
S-02011;426;PAKISTAN;11;9
S-02011;407;XINA;3;4
S-02012;228;MARROC;12;9
S-02012;410;INDIA;4;3
S-02012;;ALTRES;23;22
S-02012;347;PARAGUAI;4;4
S-02012;108;ESPANYA;470;483
S-02012;218;GUINEA;7;5
S-02013;345;ECUADOR;7;6
S-02013;128;ROMANIA;8;8
S-02013;426;PAKISTAN;23;11
S-02013;108;ESPANYA;470;479
S-02013;341;BOLIVIA;4;7
S-02013;;ALTRES;46;34
S-02013;148;ARMENIA;5;4
S-02013;228;MARROC;66;56
S-02015;108;ESPANYA;438;493
S-02015;;ALTRES;33;26
S-02015;228;MARROC;21;16
S-03001;154;RUSSIA;3;5
S-03001;350;URUGUAI;3;3
S-03001;410;INDIA;17;14
S-03001;228;MARROC;18;15
S-03001;148;ARMENIA;4;5
S-03001;341;BOLIVIA;8;14
S-03001;108;ESPANYA;947;939
S-03001;426;PAKISTAN;10;9
S-03001;;ALTRES;30;37
S-03001;128;ROMANIA;4;3
S-03001;407;XINA;62;45
S-03001;345;ECUADOR;4;8
S-03003;348;PERU;5;3
S-03003;108;ESPANYA;784;836
S-03003;128;ROMANIA;3;4
S-03003;350;URUGUAI;3;3
S-03003;426;PAKISTAN;12;6
S-03003;228;MARROC;13;14
S-03003;341;BOLIVIA;17;17
S-03003;343;COLOMBIA;5;4
S-03003;340;ARGENTINA;3;3
S-03003;;ALTRES;27;29
S-03003;407;XINA;28;19
S-03004;108;ESPANYA;812;832
S-03004;228;MARROC;4;3
S-03004;345;ECUADOR;3;3
S-03004;350;URUGUAI;8;4
S-03004;;ALTRES;21;23
S-03004;426;PAKISTAN;13;3
S-03005;407;XINA;23;20
S-03005;410;INDIA;3;4
S-03005;341;BOLIVIA;9;12
S-03005;;ALTRES;31;27
S-03005;115;ITALIA;8;4
S-03005;426;PAKISTAN;7;7
S-03005;108;ESPANYA;581;621
S-03005;228;MARROC;41;21
S-03006;341;BOLIVIA;3;6
S-03006;115;ITALIA;4;3
S-03006;;ALTRES;23;20
S-03006;407;XINA;11;13
S-03006;108;ESPANYA;507;582
S-03007;;ALTRES;6;15
S-03007;407;XINA;6;4
S-03007;108;ESPANYA;549;646
S-03008;341;BOLIVIA;5;4
S-03008;;ALTRES;31;21
S-03008;108;ESPANYA;288;343
S-03009;;ALTRES;45;36
S-03009;108;ESPANYA;752;880
S-03009;345;ECUADOR;3;3
S-03009;115;ITALIA;8;7
S-03009;407;XINA;11;11
S-03010;;ALTRES;23;24
S-03010;348;PERU;3;5
S-03010;426;PAKISTAN;6;5
S-03010;108;ESPANYA;423;457
S-03010;407;XINA;15;7
S-03010;341;BOLIVIA;3;3
S-03010;228;MARROC;9;7
S-03011;228;MARROC;12;9
S-03011;342;BRASIL;3;3
S-03011;407;XINA;9;7
S-03011;108;ESPANYA;495;535
S-03011;135;UCRAINA;3;5
S-03011;;ALTRES;22;17
S-03013;115;ITALIA;11;16
S-03013;228;MARROC;11;4
S-03013;110;FRANÇA;7;8
