CODI_DIVISIO_TERRITORIAL;CDINE;NACIONALITAT;NRE_HOMES;NRE_DONES
S-01001;321;HONDURES;4;7
S-01001;115;ITALIA;4;3
S-01001;108;ESPANYA;688;735
S-01001;;ALTRES;21;33
S-01002;345;EQUADOR;3;6
S-01002;125;REGNE UNIT;5;3
S-01002;108;ESPANYA;496;635
S-01002;110;FRANÇA;3;3
S-01002;115;ITALIA;10;10
S-01002;;ALTRES;45;33
S-01003;108;ESPANYA;440;496
S-01003;407;XINA;3;5
S-01003;115;ITALIA;3;6
S-01003;;ALTRES;17;25
S-01003;128;ROMANIA;3;3
S-01004;;ALTRES;19;26
S-01004;108;ESPANYA;671;697
S-01004;115;ITALIA;4;4
S-01004;154;RUSSIA;3;4
S-01004;126;ALEMANYA;3;3
S-01005;347;PARAGUAI;3;7
S-01005;321;HONDURES;3;6
S-01005;;ALTRES;28;27
S-01005;108;ESPANYA;646;769
S-01005;407;XINA;6;8
S-01005;110;FRANÇA;14;11
S-01005;115;ITALIA;8;6
S-01007;407;XINA;3;4
S-01007;115;ITALIA;8;8
S-01007;108;ESPANYA;522;631
S-01007;;ALTRES;28;33
S-02001;128;ROMANIA;3;3
S-02001;108;ESPANYA;605;652
S-02001;122;POLONIA;3;4
S-02001;115;ITALIA;7;6
S-02001;351;VENEÇUELA;7;5
S-02001;228;MARROC;7;11
S-02001;;ALTRES;39;43
S-02002;317;EL SALVADOR;3;4
S-02002;115;ITALIA;7;4
S-02002;340;ARGENTINA;5;3
S-02002;407;XINA;3;3
S-02002;;ALTRES;40;28
S-02002;108;ESPANYA;746;842
S-02002;228;MARROC;12;3
S-02002;343;COLOMBIA;6;6
S-02003;115;ITALIA;9;6
S-02003;108;ESPANYA;396;475
S-02003;228;MARROC;3;4
S-02003;;ALTRES;22;26
S-02004;108;ESPANYA;938;1.014
S-02004;407;XINA;10;4
S-02004;115;ITALIA;17;6
S-02004;321;HONDURES;3;7
S-02004;;ALTRES;28;36
S-02005;228;MARROC;23;17
S-02005;148;ARMENIA;3;3
S-02005;154;RUSSIA;6;6
S-02005;343;COLOMBIA;3;5
S-02005;115;ITALIA;5;8
S-02005;323;NICARAGUA;3;6
S-02005;426;PAKISTAN;27;12
S-02005;;ALTRES;36;38
S-02005;108;ESPANYA;533;553
S-02007;343;COLOMBIA;4;3
S-02007;407;XINA;7;5
S-02007;347;PARAGUAI;5;6
S-02007;426;PAKISTAN;23;16
S-02007;;ALTRES;40;41
S-02007;410;INDIA;14;9
S-02007;348;PERU;6;3
S-02007;128;ROMANIA;6;5
S-02007;345;EQUADOR;6;10
S-02007;228;MARROC;32;41
S-02007;344;XILE;4;5
S-02007;108;ESPANYA;488;509
S-02007;321;HONDURES;5;8
S-02008;108;ESPANYA;1.003;1.144
S-02008;115;ITALIA;13;4
S-02008;;ALTRES;42;57
S-02008;348;PERU;5;3
S-02008;342;BRASIL;4;6
S-02009;228;MARROC;48;46
S-02009;410;INDIA;18;9
S-02009;148;ARMENIA;4;4
S-02009;426;PAKISTAN;28;8
S-02009;343;COLOMBIA;7;7
S-02009;342;BRASIL;3;5
S-02009;;ALTRES;31;36
S-02009;407;XINA;5;5
S-02009;347;PARAGUAI;6;12
S-02009;108;ESPANYA;430;441
S-02009;128;ROMANIA;13;7
S-02009;345;EQUADOR;5;3
S-02009;341;BOLIVIA;4;7
S-02009;351;VENEÇUELA;4;8
S-02009;115;ITALIA;8;7
S-02010;426;PAKISTAN;22;14
S-02010;128;ROMANIA;5;3
S-02010;343;COLOMBIA;4;6
S-02010;345;EQUADOR;6;6
S-02010;115;ITALIA;4;3
S-02010;228;MARROC;34;36
S-02010;108;ESPANYA;628;678
S-02010;;ALTRES;38;33
S-02010;351;VENEÇUELA;7;4
S-02010;407;XINA;5;9
S-02011;407;XINA;8;10
S-02011;426;PAKISTAN;15;7
S-02011;108;ESPANYA;639;660
S-02011;148;ARMENIA;11;11
S-02011;410;INDIA;3;5
S-02011;216;GAMBIA;3;4
S-02011;;ALTRES;43;35
S-02011;128;ROMANIA;3;8
S-02011;228;MARROC;12;6
S-02012;351;VENEÇUELA;5;5
S-02012;407;XINA;9;10
S-02012;228;MARROC;12;7
S-02012;218;GUINEA;4;3
S-02012;347;PARAGUAI;3;4
S-02012;;ALTRES;30;21
S-02012;108;ESPANYA;444;502
S-02013;154;RUSSIA;3;3
S-02013;321;HONDURES;4;9
S-02013;351;VENEÇUELA;5;5
S-02013;108;ESPANYA;495;475
S-02013;115;ITALIA;5;4
S-02013;347;PARAGUAI;4;4
S-02013;326;REPUBLICA DOMINICANA;3;4
S-02013;345;EQUADOR;7;3
S-02013;128;ROMANIA;4;5
S-02013;228;MARROC;41;49
S-02013;426;PAKISTAN;7;5
S-02013;135;UCRAINA;4;9
S-02013;;ALTRES;51;25
S-02013;343;COLOMBIA;4;3
S-02015;108;ESPANYA;438;463
S-02015;;ALTRES;43;29
S-02015;228;MARROC;38;32
S-02015;340;ARGENTINA;5;5
S-02015;351;VENEÇUELA;5;6
S-02015;426;PAKISTAN;4;4
S-02015;407;XINA;8;8
S-02015;347;PARAGUAI;3;5
S-03001;348;PERU;7;5
S-03001;343;COLOMBIA;11;11
S-03001;407;XINA;100;84
S-03001;345;EQUADOR;7;6
S-03001;154;RUSSIA;17;23
S-03001;342;BRASIL;10;7
S-03001;228;MARROC;34;9
S-03001;135;UCRAINA;12;17
S-03001;148;ARMENIA;3;6
S-03001;126;ALEMANYA;6;3
S-03001;115;ITALIA;30;22
S-03001;;ALTRES;59;50
S-03001;426;PAKISTAN;17;9
S-03001;321;HONDURES;5;16
S-03001;122;POLONIA;4;5
S-03001;108;ESPANYA;1.358;1.426
S-03001;341;BOLIVIA;13;8
S-03001;340;ARGENTINA;4;6
S-03001;110;FRANÇA;14;9
S-03001;125;REGNE UNIT;5;6
S-03001;410;INDIA;11;3
S-03003;125;REGNE UNIT;4;5
S-03003;115;ITALIA;7;4
S-03003;347;PARAGUAI;4;7
S-03003;426;PAKISTAN;14;10
S-03003;407;XINA;26;22
S-03003;108;ESPANYA;815;847
S-03003;110;FRANÇA;4;7
S-03003;;ALTRES;27;40
S-03003;319;GUATEMALA;9;3
S-03003;139;GEORGIA;6;3
S-03003;340;ARGENTINA;12;7
S-03003;410;INDIA;9;3
S-03003;343;COLOMBIA;6;7
S-03003;135;UCRAINA;4;3
S-03003;228;MARROC;4;6
S-03004;;ALTRES;33;37
S-03004;407;XINA;7;7
S-03004;350;URUGUAI;3;4
S-03004;108;ESPANYA;815;843
S-03004;315;CUBA;3;4
S-03004;115;ITALIA;4;4
S-03005;135;UCRAINA;8;10
S-03005;;ALTRES;49;45
S-03005;228;MARROC;20;18
S-03005;351;VENEÇUELA;6;6
S-03005;426;PAKISTAN;13;9
S-03005;108;ESPANYA;732;708
S-03005;154;RUSSIA;4;6
S-03005;321;HONDURES;4;5
S-03005;115;ITALIA;9;6
S-03005;407;XINA;10;13
S-03005;341;BOLIVIA;4;5
S-03006;108;ESPANYA;572;620
S-03006;;ALTRES;36;42
S-03006;407;XINA;8;3
S-03007;108;ESPANYA;549;679
S-03007;407;XINA;6;4
S-03007;;ALTRES;22;22
S-03008;;ALTRES;38;36
S-03008;108;ESPANYA;299;344
S-03008;426;PAKISTAN;4;3
S-03009;115;ITALIA;9;9
S-03009;340;ARGENTINA;5;3
S-03009;302;ESTATS UNITS;3;4
S-03009;407;XINA;5;7
S-03009;110;FRANÇA;3;5
S-03009;351;VENEÇUELA;5;6
S-03009;;ALTRES;29;24
S-03009;228;MARROC;3;3
S-03009;341;BOLIVIA;3;5
S-03009;321;HONDURES;3;10
S-03009;108;ESPANYA;778;884
S-03010;228;MARROC;5;6
S-03010;407;XINA;21;23
S-03010;;ALTRES;44;28
S-03010;426;PAKISTAN;11;10
S-03010;108;ESPANYA;380;412
S-03011;407;XINA;5;6
S-03011;;ALTRES;39;29
S-03011;135;UCRAINA;3;4
S-03011;342;BRASIL;3;3
S-03011;228;MARROC;14;9
S-03011;108;ESPANYA;566;560
S-03013;110;FRANÇA;6;5
S-03013;;ALTRES;36;22
S-03013;126;ALEMANYA;3;4
S-03013;108;ESPANYA;814;789
S-03013;115;ITALIA;9;3
S-03013;407;XINA;20;18
S-03013;154;RUSSIA;7;4
S-03013;228;MARROC;5;3
S-03014;108;ESPANYA;669;669
S-03014;;ALTRES;34;32
S-03014;110;FRANÇA;6;3
S-03014;407;XINA;21;38
S-03014;115;ITALIA;10;9
S-04001;407;XINA;5;7
S-04001;;ALTRES;19;27
S-04001;348;PERU;3;3
S-04001;228;MARROC;13;20
S-04001;108;ESPANYA;1.041;1.003
S-04001;426;PAKISTAN;4;5
S-04002;321;HONDURES;6;3
S-04002;228;MARROC;4;4
S-04002;115;ITALIA;4;4
S-04002;108;ESPANYA;710;782
S-04002;;ALTRES;33;32
