CODI_DIVISIO_TERRITORIAL;CODI_NACIONALITAT;DESC_NACIONALITAT;NRE_HOMES;NRE_DONES
S-01001;;ALTRES;19;31
S-01001;108;ESPANYA;630;715
S-01002;108;ESPANYA;509;641
S-01002;;ALTRES;25;26
S-01002;407;XINA;5;4
S-01002;115;ITALIA;8;5
S-01002;341;BOLIVIA;4;3
S-01003;108;ESPANYA;415;459
S-01003;;ALTRES;14;21
S-01004;108;ESPANYA;386;397
S-01004;;ALTRES;15;18
S-01005;;ALTRES;21;27
S-01005;115;ITALIA;4;7
S-01005;340;ARGENTINA;3;5
S-01005;407;XINA;4;7
S-01005;108;ESPANYA;606;697
S-01005;228;MARROC;4;3
S-01007;108;ESPANYA;482;610
S-01007;;ALTRES;28;30
S-01008;;ALTRES;14;11
S-01008;108;ESPANYA;282;302
S-02001;341;BOLIVIA;3;6
S-02001;216;GAMBIA;7;4
S-02001;;ALTRES;31;29
S-02001;340;ARGENTINA;4;3
S-02001;108;ESPANYA;557;638
S-02001;228;MARROC;8;9
S-02002;;ALTRES;26;27
S-02002;108;ESPANYA;730;806
S-02002;407;XINA;3;5
S-02003;108;ESPANYA;380;419
S-02003;115;ITALIA;5;3
S-02003;407;XINA;3;4
S-02003;;ALTRES;21;17
S-02004;407;XINA;5;4
S-02004;108;ESPANYA;876;981
S-02004;115;ITALIA;6;5
S-02004;;ALTRES;24;32
S-02005;108;ESPANYA;546;555
S-02005;115;ITALIA;3;3
S-02005;407;XINA;3;4
S-02005;228;MARROC;20;13
S-02005;;ALTRES;42;39
S-02007;239;SENEGAL;3;3
S-02007;128;ROMANIA;3;4
S-02007;345;EQUADOR;5;7
S-02007;;ALTRES;32;40
S-02007;108;ESPANYA;527;522
S-02007;228;MARROC;23;22
S-02007;344;XILE;3;5
S-02007;407;XINA;16;11
S-02007;410;INDIA;15;11
S-02008;341;BOLIVIA;8;4
S-02008;;ALTRES;26;27
S-02008;407;XINA;3;3
S-02008;108;ESPANYA;951;1047
S-02009;;ALTRES;46;49
S-02009;426;PAKISTAN;28;7
S-02009;340;ARGENTINA;4;6
S-02009;228;MARROC;67;62
S-02009;410;INDIA;25;15
S-02009;108;ESPANYA;441;473
S-02009;216;GAMBIA;4;4
S-02009;139;GEORGIA;3;4
S-02010;128;ROMANIA;7;4
S-02010;228;MARROC;27;33
S-02010;108;ESPANYA;636;663
S-02010;407;XINA;12;7
S-02010;;ALTRES;36;36
S-02011;410;INDIA;4;3
S-02011;228;MARROC;9;9
S-02011;426;PAKISTAN;10;6
S-02011;148;ARMENIA;17;13
S-02011;;ALTRES;33;28
S-02011;128;ROMANIA;4;5
S-02011;108;ESPANYA;694;709
S-02012;;ALTRES;28;30
S-02012;108;ESPANYA;466;489
S-02012;218;GUINEA;7;5
S-02012;228;MARROC;9;11
S-02013;108;ESPANYA;469;489
S-02013;228;MARROC;71;66
S-02013;148;ARMENIA;5;4
S-02013;426;PAKISTAN;19;8
S-02013;;ALTRES;50;38
S-02015;228;MARROC;20;16
S-02015;;ALTRES;37;23
S-02015;108;ESPANYA;433;476
S-03001;407;XINA;64;55
S-03001;410;INDIA;14;11
S-03001;128;ROMANIA;7;5
S-03001;;ALTRES;30;30
S-03001;154;RUSSIA;3;7
S-03001;228;MARROC;21;15
S-03001;115;ITALIA;4;3
S-03001;340;ARGENTINA;5;4
S-03001;341;BOLIVIA;9;12
S-03001;108;ESPANYA;927;972
S-03001;426;PAKISTAN;4;4
S-03001;148;ARMENIA;5;6
S-03001;345;EQUADOR;3;3
S-03003;228;MARROC;9;13
S-03003;104;BULGARIA;4;3
S-03003;407;XINA;28;18
S-03003;148;ARMENIA;3;3
S-03003;108;ESPANYA;783;848
S-03003;341;BOLIVIA;10;9
S-03003;426;PAKISTAN;12;5
S-03003;343;COLOMBIA;4;4
S-03003;348;PERU;4;3
S-03003;;ALTRES;25;31
S-03004;228;MARROC;4;3
S-03004;350;URUGUAI;7;4
S-03004;108;ESPANYA;826;859
S-03004;;ALTRES;22;17
S-03004;426;PAKISTAN;12;3
S-03005;407;XINA;29;23
S-03005;108;ESPANYA;578;614
S-03005;115;ITALIA;6;4
S-03005;;ALTRES;28;27
S-03005;426;PAKISTAN;6;8
S-03005;135;UCRAINA;4;3
S-03005;341;BOLIVIA;8;12
S-03005;228;MARROC;44;25
S-03005;139;GEORGIA;5;4
S-03006;108;ESPANYA;524;595
S-03006;;ALTRES;27;21
S-03006;228;MARROC;3;3
S-03006;407;XINA;7;5
S-03007;407;XINA;7;6
S-03007;;ALTRES;5;13
S-03007;108;ESPANYA;543;647
S-03008;341;BOLIVIA;4;4
S-03008;108;ESPANYA;291;331
S-03008;;ALTRES;23;17
S-03009;115;ITALIA;12;9
S-03009;340;ARGENTINA;4;4
S-03009;108;ESPANYA;774;899
S-03009;407;XINA;8;10
S-03009;;ALTRES;38;30
S-03010;228;MARROC;7;8
S-03010;407;XINA;9;4
S-03010;108;ESPANYA;406;448
S-03010;426;PAKISTAN;6;6
S-03010;;ALTRES;24;26
S-03011;407;XINA;8;7
S-03011;228;MARROC;12;7
S-03011;;ALTRES;25;27
S-03011;108;ESPANYA;501;535
S-03011;135;UCRAINA;6;5
S-03013;115;ITALIA;11;14
S-03013;110;FRANÇA;7;6
S-03013;407;XINA;46;53
S-03013;228;MARROC;10;4
S-03013;;ALTRES;41;41
S-03013;108;ESPANYA;1314;1297
S-03013;126;ALEMANYA;6;3
S-04001;108;ESPANYA;1063;1050
S-04001;228;MARROC;15;16
S-04001;;ALTRES;18;26
S-04002;108;ESPANYA;724;792
S-04002;;ALTRES;31;35
S-04003;;ALTRES;18;25
S-04003;108;ESPANYA;618;657
S-04003;115;ITALIA;7;4
S-04003;407;XINA;3;3
S-04004;115;ITALIA;3;3
S-04004;;ALTRES;36;33
S-04004;407;XINA;10;10
S-04004;108;ESPANYA;1042;1094
S-04005;407;XINA;8;3
S-04005;108;ESPANYA;740;737
S-04005;115;ITALIA;4;3
S-04005;;ALTRES;13;25
S-04006;108;ESPANYA;1212;1254
S-04006;;ALTRES;25;30
S-04006;115;ITALIA;7;3
S-04006;128;ROMANIA;5;6
S-04007;108;ESPANYA;847;920
S-04007;115;ITALIA;4;4
S-04007;;ALTRES;8;11
S-04008;128;ROMANIA;6;4
S-04008;108;ESPANYA;641;694
S-04008;;ALTRES;12;8
S-04008;407;XINA;3;3
S-04009;108;ESPANYA;418;460
S-04009;;ALTRES;28;16
S-04009;128;ROMANIA;5;7
S-04010;;ALTRES;39;37
S-04010;108;ESPANYA;562;556
S-04010;407;XINA;13;11
S-04010;228;MARROC;9;8
S-04011;108;ESPANYA;644;703
S-04011;228;MARROC;3;7
S-04011;;ALTRES;19;22
S-04011;407;XINA;7;10
S-04011;128;ROMANIA;13;5
S-04012;128;ROMANIA;10;7
S-04012;108;ESPANYA;661;729
S-04012;;ALTRES;16;29
S-04012;426;PAKISTAN;5;3
S-04013;135;UCRAINA;3;5
S-04013;;ALTRES;9;8
S-04013;108;ESPANYA;524;566
S-04014;115;ITALIA;4;3
S-04014;108;ESPANYA;1177;1210
S-04014;;ALTRES;20;18
S-04015;;ALTRES;12;7
S-04015;228;MARROC;10;13
S-04015;108;ESPANYA;692;716
S-04016;108;ESPANYA;1011;1052
S-04016;228;MARROC;3;3
S-04016;;ALTRES;12;11
S-05001;110;FRANÇA;6;3
S-05001;115;ITALIA;5;5
S-05001;;ALTRES;29;36
S-05001;108;ESPANYA;1031;1122
S-05001;128;ROMANIA;5;5
S-05002;;ALTRES;3;4
S-05002;108;ESPANYA;356;445
S-05003;341;BOLIVIA;5;4
S-05003;228;MARROC;6;3
S-05003;407;XINA;7;5
S-05003;108;ESPANYA;1167;1281
S-05003;;ALTRES;23;33
S-05003;115;ITALIA;8;8
S-05004;;ALTRES;61;54
S-05004;407;XINA;14;8
S-05004;115;ITALIA;8;3
