CODI_DIVISIO_TERRITORIAL;CODI_NACIONALITAT;DESC_NACIONALITAT;NRE_HOMES;NRE_DONES
S-01001;108;ESPANYA;643;717
S-01001;;ALTRES;15;31
S-01002;108;ESPANYA;513;628
S-01002;;ALTRES;23;32
S-01002;407;XINA;5;4
S-01002;115;ITALIA;6;3
S-01003;;ALTRES;17;21
S-01003;108;ESPANYA;424;473
S-01003;128;ROMANIA;4;4
S-01004;108;ESPANYA;371;399
S-01004;;ALTRES;12;20
S-01005;407;XINA;4;4
S-01005;228;MARROC;5;3
S-01005;;ALTRES;20;31
S-01005;108;ESPANYA;630;715
S-01005;115;ITALIA;5;7
S-01007;104;BULGARIA;3;3
S-01007;108;ESPANYA;502;626
S-01007;;ALTRES;27;25
S-01008;108;ESPANYA;292;308
S-01008;;ALTRES;12;13
S-02001;345;EQUADOR;3;3
S-02001;108;ESPANYA;554;642
S-02001;216;GAMBIA;9;4
S-02001;;ALTRES;33;29
S-02001;228;MARROC;6;7
S-02002;;ALTRES;26;38
S-02002;108;ESPANYA;730;811
S-02003;;ALTRES;27;27
S-02003;108;ESPANYA;379;413
S-02004;108;ESPANYA;874;985
S-02004;115;ITALIA;7;4
S-02004;;ALTRES;20;32
S-02005;228;MARROC;22;16
S-02005;108;ESPANYA;545;563
S-02005;;ALTRES;44;38
S-02005;341;BOLIVIA;3;3
S-02005;115;ITALIA;3;3
S-02007;128;ROMANIA;5;4
S-02007;426;PAKISTAN;8;6
S-02007;410;INDIA;19;10
S-02007;407;XINA;12;8
S-02007;228;MARROC;24;24
S-02007;108;ESPANYA;521;517
S-02007;;ALTRES;42;53
S-02007;345;EQUADOR;6;9
S-02008;407;XINA;3;6
S-02008;;ALTRES;26;29
S-02008;108;ESPANYA;966;1046
S-02008;341;BOLIVIA;7;3
S-02009;108;ESPANYA;438;464
S-02009;426;PAKISTAN;24;8
S-02009;228;MARROC;57;61
S-02009;321;HONDURES;5;4
S-02009;410;INDIA;19;9
S-02009;340;ARGENTINA;4;4
S-02009;;ALTRES;43;54
S-02009;407;XINA;4;4
S-02010;108;ESPANYA;622;658
S-02010;128;ROMANIA;4;3
S-02010;228;MARROC;25;27
S-02010;407;XINA;10;11
S-02010;;ALTRES;27;32
S-02010;154;RUSSIA;4;5
S-02010;426;PAKISTAN;3;3
S-02011;108;ESPANYA;685;705
S-02011;148;ARMENIA;13;7
S-02011;410;INDIA;6;6
S-02011;;ALTRES;36;18
S-02011;228;MARROC;12;8
S-02011;128;ROMANIA;4;5
S-02011;426;PAKISTAN;7;4
S-02012;218;GUINEA;7;5
S-02012;;ALTRES;30;21
S-02012;108;ESPANYA;464;499
S-02012;228;MARROC;14;9
S-02012;407;XINA;8;12
S-02013;135;UCRAINA;3;5
S-02013;341;BOLIVIA;4;3
S-02013;228;MARROC;63;61
S-02013;426;PAKISTAN;18;9
S-02013;;ALTRES;43;35
S-02013;108;ESPANYA;473;481
S-02015;108;ESPANYA;432;459
S-02015;;ALTRES;33;18
S-02015;407;XINA;5;3
S-02015;228;MARROC;19;15
S-03001;341;BOLIVIA;7;10
S-03001;148;ARMENIA;4;5
S-03001;228;MARROC;22;16
S-03001;154;RUSSIA;5;8
S-03001;115;ITALIA;3;3
S-03001;128;ROMANIA;13;6
S-03001;407;XINA;63;57
S-03001;410;INDIA;13;12
S-03001;108;ESPANYA;909;967
S-03001;340;ARGENTINA;5;3
S-03001;426;PAKISTAN;7;4
S-03001;;ALTRES;30;27
S-03003;;ALTRES;39;33
S-03003;108;ESPANYA;801;867
S-03003;341;BOLIVIA;10;8
S-03003;407;XINA;23;18
S-03003;104;BULGARIA;3;3
S-03003;135;UCRAINA;5;4
S-03003;343;COLOMBIA;3;3
S-03003;228;MARROC;7;11
S-03004;228;MARROC;5;3
S-03004;426;PAKISTAN;9;4
S-03004;407;XINA;6;4
S-03004;108;ESPANYA;838;867
S-03004;345;EQUADOR;3;3
S-03004;;ALTRES;18;26
S-03004;350;URUGUAI;4;3
S-03005;108;ESPANYA;584;615
S-03005;228;MARROC;32;24
S-03005;426;PAKISTAN;13;4
S-03005;115;ITALIA;5;5
S-03005;;ALTRES;26;24
S-03005;135;UCRAINA;4;3
S-03005;110;FRANÇA;6;3
S-03005;139;GEORGIA;3;3
S-03005;407;XINA;24;24
S-03005;341;BOLIVIA;7;7
S-03006;108;ESPANYA;524;593
S-03006;;ALTRES;27;23
S-03006;407;XINA;8;6
S-03007;;ALTRES;6;16
S-03007;407;XINA;7;5
S-03007;108;ESPANYA;540;648
S-03008;341;BOLIVIA;3;5
S-03008;;ALTRES;23;25
S-03008;108;ESPANYA;307;331
S-03009;341;BOLIVIA;3;3
S-03009;;ALTRES;34;31
S-03009;108;ESPANYA;768;887
S-03009;407;XINA;11;18
S-03009;115;ITALIA;12;11
S-03009;340;ARGENTINA;4;3
S-03010;;ALTRES;26;27
S-03010;228;MARROC;6;5
S-03010;407;XINA;13;9
S-03010;108;ESPANYA;397;442
S-03010;426;PAKISTAN;6;7
S-03011;108;ESPANYA;493;528
S-03011;407;XINA;8;8
S-03011;154;RUSSIA;3;4
S-03011;;ALTRES;26;33
S-03011;135;UCRAINA;6;6
S-03011;228;MARROC;14;9
S-03013;135;UCRAINA;4;3
S-03013;115;ITALIA;8;12
S-03013;126;ALEMANYA;7;3
S-03013;407;XINA;51;63
S-03013;110;FRANÇA;7;8
S-03013;;ALTRES;34;29
S-03013;228;MARROC;5;4
S-03013;108;ESPANYA;1351;1335
S-04001;;ALTRES;18;17
S-04001;108;ESPANYA;1069;1071
S-04001;321;HONDURES;3;3
S-04001;228;MARROC;21;19
S-04001;407;XINA;5;4
S-04002;108;ESPANYA;714;789
S-04002;228;MARROC;3;3
S-04002;;ALTRES;32;30
S-04003;;ALTRES;19;29
S-04003;108;ESPANYA;658;668
S-04003;115;ITALIA;8;3
S-04004;;ALTRES;30;26
S-04004;342;BRASIL;3;6
S-04004;407;XINA;12;8
S-04004;115;ITALIA;5;3
S-04004;108;ESPANYA;1056;1087
S-04005;;ALTRES;11;17
S-04005;407;XINA;10;7
S-04005;108;ESPANYA;732;727
S-04005;115;ITALIA;3;3
S-04006;203;ALGERIA;3;3
S-04006;115;ITALIA;8;3
S-04006;128;ROMANIA;5;6
S-04006;108;ESPANYA;1220;1261
S-04006;;ALTRES;24;29
S-04007;108;ESPANYA;830;915
S-04007;;ALTRES;13;10
S-04007;115;ITALIA;5;4
S-04008;108;ESPANYA;647;706
S-04008;;ALTRES;11;9
S-04008;407;XINA;5;3
S-04008;128;ROMANIA;5;3
S-04009;108;ESPANYA;427;458
S-04009;;ALTRES;19;13
S-04009;128;ROMANIA;3;6
S-04010;345;EQUADOR;7;4
S-04010;228;MARROC;8;8
S-04010;108;ESPANYA;578;558
S-04010;407;XINA;13;17
S-04010;;ALTRES;31;39
S-04011;108;ESPANYA;661;718
S-04011;;ALTRES;24;30
