CODI_DIVISIO_TERRITORIAL;CDINE;NACIONALITAT;NRE_HOMES;NRE_DONES
S-01001;108;ESPANYA;681;728
S-01001;;ALTRES;25;31
S-01001;321;HONDURES;4;6
S-01002;342;BRASIL;4;3
S-01002;108;ESPANYA;506;651
S-01002;;ALTRES;33;35
S-01002;110;FRANÇA;4;4
S-01002;115;ITALIA;9;8
S-01003;;ALTRES;18;22
S-01003;115;ITALIA;4;5
S-01003;128;ROMANIA;3;3
S-01003;407;XINA;3;5
S-01003;108;ESPANYA;446;489
S-01004;108;ESPANYA;663;703
S-01004;154;RUSSIA;3;4
S-01004;115;ITALIA;3;4
S-01004;;ALTRES;20;24
S-01004;347;PARAGUAI;3;5
S-01005;108;ESPANYA;647;757
S-01005;115;ITALIA;7;6
S-01005;347;PARAGUAI;3;6
S-01005;;ALTRES;25;30
S-01005;407;XINA;5;7
S-01005;110;FRANÇA;13;10
S-01007;108;ESPANYA;537;634
S-01007;407;XINA;3;4
S-01007;115;ITALIA;7;3
S-01007;;ALTRES;30;31
S-02001;351;VENEÇUELA;7;5
S-02001;115;ITALIA;8;7
S-02001;;ALTRES;26;31
S-02001;407;XINA;3;7
S-02001;216;GAMBIA;7;5
S-02001;228;MARROC;10;9
S-02001;122;POLONIA;3;5
S-02001;108;ESPANYA;587;652
S-02002;343;COLOMBIA;7;6
S-02002;108;ESPANYA;738;847
S-02002;;ALTRES;70;29
S-02002;407;XINA;5;5
S-02002;342;BRASIL;3;3
S-02002;317;EL SALVADOR;4;4
S-02002;340;ARGENTINA;6;3
S-02003;;ALTRES;21;30
S-02003;108;ESPANYA;402;481
S-02003;115;ITALIA;9;5
S-02004;;ALTRES;34;49
S-02004;426;PAKISTAN;4;5
S-02004;115;ITALIA;13;5
S-02004;108;ESPANYA;952;1.022
S-02005;323;NICARAGUA;3;5
S-02005;108;ESPANYA;543;556
S-02005;345;EQUADOR;3;3
S-02005;;ALTRES;25;33
S-02005;426;PAKISTAN;25;8
S-02005;341;BOLIVIA;5;3
S-02005;115;ITALIA;6;7
S-02005;148;ARMENIA;3;3
S-02005;228;MARROC;16;13
S-02005;343;COLOMBIA;3;6
S-02005;154;RUSSIA;7;6
S-02007;228;MARROC;36;37
S-02007;343;COLOMBIA;5;5
S-02007;345;EQUADOR;8;10
S-02007;344;XILE;5;4
S-02007;;ALTRES;44;35
S-02007;321;HONDURES;6;7
S-02007;128;ROMANIA;7;6
S-02007;410;INDIA;11;8
S-02007;407;XINA;7;5
S-02007;348;PERU;6;3
S-02007;347;PARAGUAI;3;6
S-02007;426;PAKISTAN;14;12
S-02007;108;ESPANYA;501;514
S-02008;;ALTRES;41;52
S-02008;108;ESPANYA;1.008;1.144
S-02008;115;ITALIA;12;7
S-02008;343;COLOMBIA;3;8
S-02008;342;BRASIL;5;4
S-02009;351;VENEÇUELA;5;5
S-02009;341;BOLIVIA;3;9
S-02009;128;ROMANIA;11;7
S-02009;108;ESPANYA;429;444
S-02009;347;PARAGUAI;6;13
S-02009;407;XINA;5;5
S-02009;;ALTRES;35;40
S-02009;342;BRASIL;5;5
S-02009;343;COLOMBIA;6;3
S-02009;321;HONDURES;6;4
S-02009;148;ARMENIA;4;4
S-02009;410;INDIA;18;10
S-02009;426;PAKISTAN;28;8
S-02009;115;ITALIA;6;7
S-02009;228;MARROC;51;45
S-02010;426;PAKISTAN;19;16
S-02010;;ALTRES;48;28
S-02010;407;XINA;5;9
S-02010;135;UCRAINA;4;4
S-02010;115;ITALIA;4;3
S-02010;128;ROMANIA;4;3
S-02010;345;EQUADOR;6;4
S-02010;108;ESPANYA;635;684
S-02010;343;COLOMBIA;6;4
S-02010;228;MARROC;29;34
S-02011;426;PAKISTAN;16;6
S-02011;128;ROMANIA;3;8
S-02011;326;REPUBLICA DOMINICANA;3;5
S-02011;;ALTRES;46;31
S-02011;216;GAMBIA;3;4
S-02011;108;ESPANYA;633;676
S-02011;148;ARMENIA;12;13
S-02011;410;INDIA;4;6
S-02011;407;XINA;5;9
S-02011;228;MARROC;13;8
S-02012;108;ESPANYA;458;506
S-02012;345;EQUADOR;4;3
S-02012;351;VENEÇUELA;5;5
S-02012;218;GUINEA;4;4
S-02012;407;XINA;5;7
